"var","categoria","Radio","Televisión","Diario","Medio digital","Redes Sociales","Ninguno en particular","No sabe"
"P10","Siempre",0.258,0.194,0.216,0.196,0.154,0.118,0
"P10","Casi siempre",0.306,0.34,0.402,0.279,0.246,0.215,0
"P10","Casi nunca",0.294,0.338,0.308,0.371,0.372,0.405,0
"P10","Nunca, pero esta es una excepción",0.142,0.128,0.074,0.154,0.228,0.262,1
"P11","Unión por la Patria",0.464,0.305,0.253,0.448,0.309,0.291,0
"P11","La Libertad Avanza",0.401,0.577,0.561,0.448,0.605,0.579,0
"P11","En blanco",0.085,0.068,0.127,0.076,0.032,0.073,0
"P11","No sabe",0.05,0.05,0.059,0.028,0.054,0.057,1
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.437,0.312,0.256,0.439,0.36,0.281,0
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.493,0.614,0.605,0.508,0.607,0.615,1
"P13","En blanco",0.042,0.039,0.099,0.04,0,0.055,0
"P13","No sabe",0.028,0.035,0.04,0.013,0.033,0.049,0
"P15","Totalmente seguro",0.749,0.766,0.809,0.813,0.783,0.751,0
"P15","Bastante seguro",0.131,0.095,0.092,0.121,0.103,0.14,1
"P15","Algo seguro",0.056,0.072,0.078,0.05,0.059,0.052,0
"P15","Para nada seguro",0.064,0.067,0.021,0.016,0.055,0.057,0
"P16","Tiene Decidido que va a ir a votar",0.932,0.941,0.921,0.935,0.944,0.948,1
"P16","Tiene dudas sobre si va a ir a  votar",0.025,0.041,0.015,0.05,0.042,0.023,0
"P16","Tiene Decidido que no va a ir a votar",0.043,0.018,0.064,0.015,0.014,0.029,0
"P17","Lo votaría",0.517,0.319,0.315,0.472,0.409,0.31,1
"P17","Puede que lo vote",0.045,0.054,0.075,0.037,0.05,0.023,0
"P17","Nunca lo votaría",0.423,0.611,0.605,0.455,0.505,0.634,0
