"var","categoria","Inflación","Desempleo","Corrupción","Inseguridad","Precio del dólar","Pobreza","Narcotráfico","Tarifas","Otro","No sabe"
"P10","Unión por la Patria",0.399,0.441,0.133,0.346,0.574,0.499,0.494,0.394,0.524,0.408
"P10","Juntos por el Cambio",0.246,0.211,0.379,0.337,0.164,0.163,0.157,0.319,0.176,0.142
"P10","De los liberales libertarios",0.229,0.169,0.333,0.177,0.103,0.144,0.127,0.117,0.119,0.125
"P10","De la Izquierda",0.041,0.059,0.04,0.047,0.035,0.065,0.08,0.014,0.062,0.084
"P10","Hacemos por nuestro país",0.027,0.018,0.032,0.028,0.013,0.016,0.01,0,0.04,0.029
"P10","Otro",0.016,0.038,0.034,0.019,0.018,0.038,0.015,0,0.026,0.02
"P10","En blanco",0.007,0.017,0.015,0.02,0.032,0.034,0.01,0,0.006,0.084
"P10","No sabe",0.035,0.047,0.034,0.026,0.061,0.041,0.107,0.156,0.047,0.108
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.457,0.463,0.157,0.407,0.721,0.559,0.544,0.558,0.514,0.557
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.227,0.23,0.367,0.284,0.095,0.139,0.243,0.163,0.158,0.119
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.228,0.191,0.359,0.218,0.048,0.153,0.05,0.118,0.107,0.148
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.028,0.027,0.03,0.017,0.017,0.06,0.024,0.018,0.089,0.037
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.04,0.033,0.055,0.033,0.092,0.031,0.053,0.143,0.052,0.04
"P13","En blanco",0.01,0.022,0.013,0.011,0.015,0.025,0.022,0,0.023,0.041
"P13","No sabe",0.01,0.034,0.019,0.03,0.012,0.033,0.064,0,0.057,0.058
"P26","Totalmente seguro",0.768,0.611,0.72,0.665,0.753,0.717,0.827,0.61,0.815,0.502
"P26","Bastante seguro",0.107,0.161,0.118,0.128,0.079,0.13,0.033,0.069,0.077,0.132
"P26","Algo seguro",0.082,0.121,0.089,0.129,0.1,0.087,0.045,0.178,0.058,0.075
"P26","Para nada seguro",0.043,0.107,0.073,0.078,0.068,0.066,0.095,0.143,0.05,0.291
"P27","Tiene Decidido que va a ir a votar",0.938,0.899,0.923,0.891,0.907,0.936,0.825,0.98,0.923,0.804
"P27","Tiene dudas sobre si va a ir a  votar",0.04,0.081,0.048,0.08,0.063,0.039,0.151,0.02,0.056,0.143
"P27","Tiene Decidido que no va a ir a votar",0.022,0.02,0.029,0.029,0.03,0.025,0.024,0,0.021,0.053
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.525,0.649,0.236,0.548,0.703,0.642,0.564,0.701,0.558,0.562
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.278,0.169,0.491,0.295,0.213,0.145,0.186,0.187,0.187,0.157
"P28","En blanco",0.121,0.099,0.151,0.077,0.035,0.085,0.015,0.013,0.111,0.053
"P28","No sabe",0.076,0.083,0.122,0.08,0.049,0.128,0.235,0.099,0.144,0.228
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.334,0.332,0.418,0.367,0.3,0.25,0.236,0.173,0.293,0.26
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.271,0.203,0.38,0.244,0.153,0.163,0.088,0.28,0.122,0.132
"P29","En blanco",0.243,0.256,0.127,0.22,0.31,0.338,0.215,0.21,0.417,0.301
"P29","No sabe",0.152,0.209,0.075,0.169,0.237,0.249,0.461,0.337,0.168,0.307
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.474,0.587,0.2,0.451,0.797,0.636,0.659,0.577,0.556,0.513
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.318,0.201,0.479,0.254,0.094,0.204,0.061,0.24,0.169,0.131
"P30","En blanco",0.125,0.099,0.2,0.14,0.041,0.081,0.104,0.029,0.127,0.157
"P30","No sabe",0.083,0.113,0.121,0.155,0.068,0.079,0.176,0.154,0.148,0.199
"P10_imputada","Unión por la Patria",0.409,0.451,0.14,0.355,0.597,0.509,0.54,0.55,0.529,0.408
"P10_imputada","Juntos por el Cambio",0.256,0.228,0.387,0.344,0.166,0.191,0.157,0.319,0.181,0.141
"P10_imputada","De los liberales libertarios",0.235,0.173,0.345,0.182,0.135,0.147,0.127,0.117,0.142,0.228
"P10_imputada","De la Izquierda",0.046,0.066,0.043,0.048,0.039,0.065,0.088,0.014,0.062,0.087
"P10_imputada","Hacemos por nuestro país",0.028,0.022,0.033,0.028,0.013,0.016,0.01,0,0.051,0.032
"P10_imputada","Otro",0.018,0.043,0.037,0.024,0.018,0.038,0.068,0,0.026,0.02
"P10_imputada","En blanco",0.008,0.017,0.015,0.019,0.032,0.034,0.01,0,0.009,0.084
