"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.348,0.362,0.336,0.34,0.34,0.377,0.341,0.314,0.349,0.388,0.405,0.32,0.316,0.353,0.315,0.355,0.36,0.381,0.521,0.332,0.41,0.332
"Desempleo",0.096,0.091,0.1,0.109,0.104,0.075,0.084,0.121,0.103,0.055,0.109,0.055,0.176,0.091,0.14,0.065,0.081,0.115,0.071,0.045,0.052,0.132
"Corrupción",0.291,0.302,0.281,0.288,0.287,0.291,0.307,0.251,0.304,0.319,0.157,0.432,0.262,0.297,0.289,0.336,0.281,0.111,0.059,0.445,0.343,0.361
"Inseguridad",0.117,0.113,0.121,0.126,0.111,0.106,0.133,0.16,0.114,0.071,0.114,0.117,0.151,0.102,0.12,0.067,0.137,0.136,0.047,0.098,0.084,0.116
"Precio del dólar",0.027,0.024,0.029,0.028,0.026,0.025,0.028,0.028,0.031,0.018,0.046,0.01,0.017,0.019,0.025,0.032,0.033,0.043,0.007,0.003,0,0.004
"Pobreza",0.055,0.04,0.068,0.057,0.071,0.04,0.032,0.055,0.047,0.066,0.086,0.029,0.032,0.063,0.05,0.049,0.051,0.104,0.149,0.031,0.044,0.032
"Narcotráfico",0.009,0.011,0.008,0.005,0.007,0.012,0.016,0.014,0.006,0.008,0.012,0.005,0.006,0.011,0.006,0.008,0.009,0.003,0,0.012,0,0
"Tarifas",0.005,0.002,0.007,0,0.006,0.01,0.002,0.008,0.003,0.003,0.008,0.004,0,0.003,0.011,0.004,0.003,0.012,0,0.005,0,0
"Otro",0.037,0.038,0.037,0.035,0.033,0.047,0.039,0.026,0.032,0.06,0.048,0.022,0.018,0.042,0.028,0.051,0.036,0.068,0.119,0.027,0.05,0.023
"No sabe",0.015,0.017,0.013,0.012,0.015,0.017,0.018,0.023,0.011,0.012,0.015,0.006,0.022,0.019,0.016,0.033,0.009,0.027,0.027,0.002,0.017,0
