"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P10","Unión por la Patria",0.332,0.205,0.217
"P10","Juntos por el Cambio",0.284,0.239,0.194
"P10","De los liberales libertarios",0.237,0.201,0.093
"P10","De la Izquierda",0.044,0.059,0.112
"P10","Hacemos por nuestro país",0.028,0.024,0.097
"P10","Otro",0.026,0.064,0.092
"P10","En blanco",0.012,0.095,0.105
"P10","No sabe",0.037,0.113,0.09
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.386,0.27,0.232
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.252,0.228,0.176
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.26,0.196,0.143
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.027,0.044,0.068
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.04,0.079,0.143
"P13","En blanco",0.013,0.06,0.128
"P13","No sabe",0.022,0.123,0.11
"P26","Totalmente seguro",0.752,0.26,0.297
"P26","Bastante seguro",0.112,0.309,0.095
"P26","Algo seguro",0.078,0.111,0.456
"P26","Para nada seguro",0.058,0.32,0.152
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.493,0.242,0.229
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.306,0.332,0.233
"P28","En blanco",0.108,0.157,0.345
"P28","No sabe",0.093,0.269,0.193
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.357,0.282,0.218
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.28,0.25,0.184
"P29","En blanco",0.22,0.179,0.309
"P29","No sabe",0.143,0.289,0.289
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.438,0.263,0.291
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.327,0.315,0.267
"P30","En blanco",0.138,0.19,0.238
"P30","No sabe",0.097,0.232,0.204
"P38","Inflación",0.355,0.256,0.302
"P38","Desempleo",0.094,0.142,0.075
"P38","Corrupción",0.292,0.257,0.33
"P38","Inseguridad",0.114,0.17,0.136
"P38","Precio del dólar",0.026,0.031,0.032
"P38","Pobreza",0.056,0.039,0.054
"P38","Narcotráfico",0.008,0.025,0.008
"P38","Tarifas",0.005,0.002,0
"P38","Otro",0.037,0.038,0.031
"P38","No sabe",0.013,0.04,0.032
"P10_imputada","Unión por la Patria",0.344,0.22,0.234
"P10_imputada","Juntos por el Cambio",0.292,0.265,0.222
"P10_imputada","De los liberales libertarios",0.246,0.231,0.096
"P10_imputada","De la Izquierda",0.047,0.087,0.124
"P10_imputada","Hacemos por nuestro país",0.029,0.026,0.103
"P10_imputada","Otro",0.03,0.069,0.091
"P10_imputada","En blanco",0.012,0.102,0.13
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.395,0.339,0.285
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.255,0.247,0.197
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.266,0.212,0.175
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.028,0.048,0.072
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.042,0.079,0.143
"P13_imputada","En blanco",0.014,0.075,0.128
