"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.759,0.704,0.751,0.494,0.542,0.484,0.501
"P26","Bastante seguro",0.123,0.14,0.101,0.147,0.165,0.12,0.073
"P26","Algo seguro",0.079,0.082,0.093,0.167,0.14,0.118,0.055
"P26","Para nada seguro",0.039,0.074,0.055,0.192,0.153,0.278,0.371
"P27","Tiene Decidido que va a ir a votar",0.938,0.919,0.927,0.822,0.85,0.796,0.519
"P27","Tiene dudas sobre si va a ir a  votar",0.042,0.059,0.061,0.108,0.054,0.127,0.305
"P27","Tiene Decidido que no va a ir a votar",0.02,0.022,0.012,0.07,0.096,0.077,0.176
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.884,0.249,0.195,0.489,0.319,0.283,0.255
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.052,0.674,0.312,0.102,0.184,0.237,0.137
"P28","En blanco",0.025,0.042,0.285,0.205,0.252,0.167,0.309
"P28","No sabe",0.039,0.035,0.208,0.204,0.245,0.313,0.299
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.253,0.703,0.135,0.223,0.217,0.2,0.103
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.086,0.147,0.728,0.216,0.259,0.238,0.198
"P29","En blanco",0.423,0.073,0.069,0.347,0.261,0.185,0.398
"P29","No sabe",0.238,0.077,0.068,0.214,0.263,0.377,0.301
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.823,0.242,0.136,0.353,0.246,0.238,0.281
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.279,0.774,0.251,0.282,0.351,0.164
"P30","En blanco",0.057,0.285,0.044,0.215,0.285,0.167,0.411
"P30","No sabe",0.05,0.194,0.046,0.181,0.187,0.244,0.144
"P38","Inflación",0.413,0.306,0.338,0.325,0.346,0.224,0.176
"P38","Desempleo",0.125,0.075,0.069,0.128,0.072,0.143,0.107
"P38","Corrupción",0.118,0.388,0.414,0.251,0.339,0.377,0.285
"P38","Inseguridad",0.12,0.139,0.088,0.113,0.115,0.101,0.147
"P38","Precio del dólar",0.046,0.015,0.015,0.021,0.012,0.016,0.056
"P38","Pobreza",0.081,0.036,0.033,0.072,0.03,0.073,0.119
"P38","Narcotráfico",0.014,0.005,0.005,0.016,0.003,0.021,0.006
"P38","Tarifas",0.008,0.005,0.002,0.001,0,0,0
"P38","Otro",0.057,0.023,0.022,0.046,0.066,0.034,0.022
"P38","No sabe",0.018,0.008,0.014,0.027,0.017,0.011,0.082
