"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Juntos","FdT","Izquierda","Liberales","Otro","Blanco","No fue a votar"
"A Tolosa Paz por el Frente de todos",0.352,0.344,0.359,0.376,0.384,0.32,0.281,0.45,0.32,0.286,0.688,0.065,0.142,0.093,0.808,0.275,0.011,0.231,0.079,0.285
"A Santilli y Manes por Juntos",0.449,0.443,0.455,0.342,0.414,0.528,0.59,0.387,0.454,0.515,0.17,0.812,0.629,0.839,0.111,0.147,0.152,0.289,0.236,0.462
"A Del Caño por el Frente de Izquierda",0.031,0.027,0.035,0.022,0.031,0.044,0.028,0.022,0.033,0.04,0.028,0.01,0.026,0.01,0.017,0.398,0.004,0.006,0.039,0
"A Espert por Avanza libertad",0.086,0.116,0.055,0.182,0.066,0.048,0.031,0.044,0.112,0.091,0.02,0.092,0.058,0.025,0.009,0.029,0.773,0.158,0.092,0.073
"A Randazo por “Vamos con vos""",0.011,0.014,0.009,0.005,0.012,0.015,0.015,0.005,0.014,0.014,0.016,0.003,0.033,0.009,0.008,0.007,0,0.058,0,0.026
"A Hotton por “+Valores”",0.014,0.006,0.023,0.007,0.032,0.004,0,0.019,0.01,0.016,0.017,0.005,0,0.002,0.006,0.009,0.04,0.118,0.049,0
"Votaría en blanco o anularía",0.057,0.05,0.064,0.066,0.061,0.041,0.055,0.073,0.057,0.038,0.061,0.013,0.112,0.022,0.041,0.135,0.02,0.14,0.505,0.154
