"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Juntos","FdT","Izquierda","Liberales","Otro","Blanco","No fue a votar"
"A Tolosa Paz por el Frente de todos",0.347,0.331,0.363,0.371,0.369,0.311,0.305,0.43,0.313,0.293,0.65,0.065,0.132,0.096,0.766,0.278,0.01,0.192,0.066,0.246
"A Santilli y Manes por Juntos",0.422,0.416,0.427,0.321,0.392,0.501,0.552,0.339,0.439,0.505,0.172,0.8,0.589,0.829,0.135,0.112,0.142,0.251,0.199,0.386
"A Del Caño por el Frente de Izquierda",0.032,0.03,0.035,0.019,0.034,0.042,0.038,0.029,0.031,0.04,0.034,0.01,0.024,0.01,0.014,0.391,0.004,0.005,0.027,0
"A Espert por Avanza libertad",0.08,0.112,0.048,0.168,0.06,0.045,0.028,0.037,0.108,0.09,0.017,0.095,0.068,0.023,0.007,0.027,0.759,0.132,0.063,0.079
"A Randazo por “Vamos con vos""",0.016,0.022,0.01,0.004,0.021,0.023,0.014,0.015,0.017,0.014,0.026,0.003,0.031,0.014,0.007,0.005,0,0.1,0,0.037
"A Hotton por “+Valores”",0.018,0.011,0.024,0.018,0.033,0.003,0,0.022,0.016,0.015,0.014,0.005,0,0.002,0.005,0.007,0.037,0.131,0.034,0.058
"Votaría en blanco o anularía",0.085,0.078,0.093,0.099,0.091,0.075,0.063,0.128,0.076,0.043,0.087,0.022,0.156,0.026,0.066,0.18,0.048,0.189,0.611,0.194
