"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"Siempre",0.2,0.227,0.173,0.156,0.191,0.225,0.307,0.228,0.182,0.193,0.236,0.202,0.16,0.144,0.116,0.356,0.265,0.201,0.238
"Casi siempre",0.229,0.248,0.211,0.184,0.216,0.296,0.279,0.162,0.232,0.327,0.232,0.218,0.264,0.194,0.28,0.225,0.377,0.278,0.135
"Casi nunca",0.309,0.286,0.33,0.296,0.353,0.3,0.198,0.307,0.322,0.283,0.304,0.314,0.27,0.36,0.305,0.3,0.229,0.37,0.224
"Nunca, pero esta es una excepción",0.262,0.239,0.286,0.364,0.24,0.179,0.216,0.303,0.264,0.197,0.228,0.266,0.306,0.302,0.299,0.119,0.129,0.151,0.403
