"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"Unión por la Patria",0.207,0.224,0.191,0.174,0.201,0.267,0.207,0.131,0.227,0.276,0.204,0.204,0.218,0.22,0.138,0.205,0.53,0.099,0.17
"Juntos por el Cambio",0.275,0.255,0.295,0.206,0.231,0.34,0.49,0.233,0.278,0.33,0.304,0.25,0.257,0.282,0.172,0.279,0.161,0.62,0.041
"De los Liberales libertarios",0.169,0.218,0.12,0.184,0.196,0.146,0.078,0.176,0.166,0.165,0.173,0.179,0.143,0.165,0.195,0.244,0.144,0.168,0.104
"De la Izquierda",0.057,0.056,0.058,0.075,0.065,0.034,0.024,0.074,0.045,0.058,0.052,0.04,0.096,0.064,0.064,0.044,0.014,0.016,0.458
"Hacemos por nuestro país",0.02,0.018,0.021,0.01,0.019,0.019,0.045,0.031,0.011,0.021,0.012,0.025,0.023,0.021,0.061,0.003,0.008,0.009,0.04
"Otro",0.077,0.068,0.086,0.128,0.063,0.061,0.031,0.109,0.065,0.056,0.093,0.08,0.045,0.051,0.16,0.09,0.045,0.028,0.019
"En blanco",0.064,0.063,0.065,0.092,0.063,0.025,0.066,0.077,0.073,0.026,0.052,0.084,0.066,0.046,0.085,0.021,0.019,0.027,0.102
"No sabe",0.131,0.098,0.164,0.131,0.162,0.108,0.059,0.169,0.135,0.068,0.11,0.138,0.152,0.151,0.125,0.114,0.079,0.033,0.066
