"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.331,0.31,0.353,0.379,0.313,0.323,0.293,0.346,0.333,0.305,0.396,0.302,0.283,0.259,0.319,0.391,0.613,0.155,0.1
"A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.272,0.251,0.294,0.133,0.27,0.381,0.42,0.162,0.305,0.355,0.232,0.309,0.244,0.354,0.226,0.241,0.114,0.632,0.114
"A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.2,0.247,0.151,0.26,0.207,0.165,0.091,0.233,0.196,0.163,0.204,0.204,0.182,0.193,0.246,0.247,0.161,0.131,0.182
"A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.043,0.037,0.05,0.051,0.056,0.023,0.016,0.044,0.036,0.058,0.031,0.04,0.064,0.068,0,0.057,0.018,0.008,0.228
"A Oscar Petersen gobernador por el GEN",0.022,0.027,0.017,0.031,0.015,0.005,0.057,0.031,0.022,0.01,0.022,0.016,0.034,0.026,0,0.014,0,0.025,0.064
"En blanco",0.045,0.046,0.042,0.025,0.061,0.043,0.037,0.074,0.028,0.038,0.051,0.042,0.068,0,0.022,0.024,0.036,0.014,0.106
"No sabe",0.087,0.082,0.093,0.121,0.078,0.06,0.086,0.11,0.08,0.071,0.064,0.087,0.125,0.1,0.187,0.026,0.058,0.035,0.206
