"var","categoria","La votaría","Puede que la vote","Nunca la votaría","No sabe"
"P05","Mucho",0.49,0.338,0.394,0.304
"P05","Bastante",0.2,0.41,0.299,0.298
"P05","Poco",0.079,0.111,0.166,0.202
"P05","Nada",0.192,0.089,0.115,0.145
"P05","No sabe",0.039,0.052,0.026,0.051
"P06","Siempre",0.425,0.215,0.219,0.24
"P06","Casi siempre",0.097,0.305,0.28,0.235
"P06","Casi nunca",0.358,0.298,0.322,0.199
"P06","Nunca, pero esta es una excepción",0.12,0.182,0.179,0.326
"P08","Unión por la Patria",0.262,0.423,0.219,0.121
"P08","Juntos por el Cambio",0.086,0.247,0.351,0.215
"P08","De los Liberales libertarios",0.238,0.109,0.19,0.201
"P08","De la Izquierda",0.141,0.072,0.027,0.086
"P08","Hacemos por nuestro país",0.054,0.034,0.012,0.022
"P08","Otro",0.122,0.088,0.077,0.037
"P08","En blanco",0.09,0,0.054,0.107
"P08","No sabe",0.007,0.027,0.07,0.211
"P11","Arriba Chubut",0.168,0.423,0.253,0.244
"P11","Juntos por el Cambio Chubut",0.15,0.27,0.389,0.189
"P11","Por la Libertad Independiente Chubutense",0.164,0.141,0.131,0.163
"P11","Frente de Izquierda",0.247,0.093,0.029,0.038
"P11","Generación para un Encuentro Nacional",0.032,0,0.013,0
"P11","Otro",0.115,0.045,0.054,0.062
"P11","En blanco",0.024,0.009,0.073,0.109
"P11","No sabe",0.1,0.019,0.058,0.195
"P14","A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut",0.137,0.354,0.31,0.365
"P14","A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio",0.195,0.338,0.399,0.196
"P14","A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense",0.31,0.141,0.143,0.091
"P14","A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad",0.296,0.095,0.026,0.066
"P14","A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN",0.026,0.046,0.019,0.006
"P14","En blanco",0.019,0,0.052,0.06
"P14","No sabe",0.017,0.026,0.051,0.216
"P17","A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.288,0.469,0.324,0.277
"P17","A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.13,0.147,0.373,0.174
"P17","A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.173,0.202,0.195,0.204
"P17","A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.288,0.041,0.012,0.036
"P17","A Oscar Petersen gobernador por el GEN",0.022,0.021,0.016,0.021
"P17","En blanco",0.069,0.021,0.05,0.053
"P17","No sabe",0.03,0.099,0.03,0.235
"P20","La votaría",0.309,0.327,0.318,0.247
"P20","Puede que la vote",0.191,0.32,0.066,0.137
"P20","Nunca la votaría",0.464,0.32,0.58,0.248
"P20","No sabe",0.036,0.033,0.036,0.368
"P21","La votaría",0.31,0.205,0.353,0.143
"P21","Puede que la vote",0.089,0.335,0.098,0.115
"P21","Nunca la votaría",0.513,0.449,0.509,0.273
"P21","No sabe",0.088,0.011,0.04,0.469
"P22","La votaría",0.567,0.104,0.129,0.171
"P22","Puede que la vote",0.113,0.414,0.087,0.077
"P22","Nunca la votaría",0.265,0.445,0.756,0.181
"P22","No sabe",0.055,0.037,0.028,0.571
"P24","La votaría",0.347,0.107,0.016,0.006
"P24","Puede que la vote",0.198,0.389,0.044,0.054
"P24","Nunca la votaría",0.432,0.414,0.898,0.113
"P24","No sabe",0.023,0.09,0.042,0.827
"P25","Si",0.398,0.402,0.387,0.364
"P25","No",0.602,0.598,0.613,0.636
