"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.357,0.329,0.387,0.41,0.339,0.346,0.319,0.381,0.362,0.315,0.421,0.324,0.334,0.259,0.404,0.395,0.657,0.167,0.144
"A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.299,0.276,0.322,0.168,0.288,0.414,0.447,0.188,0.333,0.382,0.244,0.336,0.311,0.375,0.237,0.247,0.127,0.633,0.193
"A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.217,0.28,0.152,0.296,0.217,0.168,0.113,0.256,0.208,0.183,0.227,0.222,0.188,0.205,0.286,0.257,0.163,0.148,0.21
"A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.05,0.037,0.064,0.07,0.061,0.023,0.016,0.06,0.036,0.067,0.031,0.047,0.064,0.11,0,0.059,0.018,0.008,0.228
"A Oscar Petersen gobernador por el GEN",0.023,0.028,0.017,0.031,0.015,0.005,0.058,0.031,0.022,0.011,0.022,0.016,0.035,0.025,0,0.014,0,0.026,0.064
"En blanco",0.054,0.05,0.058,0.025,0.08,0.044,0.047,0.084,0.039,0.042,0.055,0.055,0.068,0.026,0.073,0.028,0.035,0.018,0.161
