"var","categoria","A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut","A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio","A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense","A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad","A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN","En blanco"
"P05","Mucho",0.408,0.338,0.331,0.375,0.499,0.375
"P05","Bastante",0.281,0.341,0.301,0.167,0.144,0.178
"P05","Poco",0.189,0.153,0.186,0.218,0.063,0.124
"P05","Nada",0.102,0.129,0.112,0.151,0.197,0.323
"P05","No sabe",0.02,0.039,0.07,0.089,0.097,0
"P06","Siempre",0.241,0.205,0.267,0.152,0.498,0.162
"P06","Casi siempre",0.28,0.264,0.169,0.242,0.144,0.231
"P06","Casi nunca",0.257,0.31,0.381,0.283,0.134,0.327
"P06","Nunca, pero esta es una excepción",0.222,0.221,0.183,0.323,0.224,0.28
"P08","Unión por la Patria",0.407,0.121,0.056,0.207,0.075,0.049
"P08","Juntos por el Cambio",0.161,0.591,0.124,0.007,0.069,0.073
"P08","De los Liberales libertarios",0.094,0.12,0.533,0.043,0.214,0.132
"P08","De la Izquierda",0.025,0.019,0.026,0.479,0.069,0.085
"P08","Hacemos por nuestro país",0.022,0.009,0.038,0.043,0.036,0
"P08","Otro",0.085,0.032,0.091,0.072,0.188,0.241
"P08","En blanco",0.031,0.044,0.07,0.09,0.167,0.335
"P08","No sabe",0.175,0.064,0.062,0.059,0.182,0.085
"P11","Arriba Chubut",0.521,0.119,0.102,0.138,0,0.015
"P11","Juntos por el Cambio Chubut",0.166,0.657,0.109,0.028,0.108,0.046
"P11","Por la Libertad Independiente Chubutense",0.043,0.073,0.487,0.082,0.192,0.019
"P11","Frente de Izquierda",0.037,0.003,0.018,0.497,0.121,0.125
"P11","Generación para un Encuentro Nacional",0,0,0.004,0.069,0.187,0
"P11","Otro",0.04,0.021,0.143,0.035,0.043,0.222
"P11","En blanco",0.041,0.06,0.024,0.099,0.157,0.516
"P11","No sabe",0.152,0.067,0.113,0.052,0.192,0.057
"P17_imputada","A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.738,0.132,0.199,0.358,0.14,0.023
"P17_imputada","A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.097,0.68,0.091,0.089,0,0.092
"P17_imputada","A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.135,0.122,0.687,0.116,0.067,0.275
"P17_imputada","A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.007,0.019,0.019,0.403,0.262,0.023
"P17_imputada","A Oscar Petersen gobernador por el GEN",0.006,0.016,0,0.008,0.48,0.011
"P17_imputada","En blanco",0.017,0.031,0.004,0.026,0.051,0.576
"P20","La votaría",0.678,0.111,0.139,0.285,0.022,0.042
"P20","Puede que la vote",0.146,0.088,0.173,0.128,0.305,0.047
"P20","Nunca la votaría",0.099,0.7,0.623,0.383,0.348,0.667
"P20","No sabe",0.077,0.101,0.065,0.204,0.325,0.244
"P21","La votaría",0.117,0.614,0.089,0.197,0,0.006
"P21","Puede que la vote",0.111,0.138,0.193,0.092,0.223,0.05
"P21","Nunca la votaría",0.647,0.141,0.657,0.513,0.624,0.584
"P21","No sabe",0.125,0.107,0.061,0.198,0.153,0.36
"P22","La votaría",0.053,0.125,0.615,0.164,0.098,0
"P22","Puede que la vote",0.086,0.145,0.16,0.07,0.214,0.07
"P22","Nunca la votaría",0.698,0.623,0.171,0.621,0.501,0.584
"P22","No sabe",0.163,0.107,0.054,0.145,0.187,0.346
"P23","La votaría",0.034,0.042,0.163,0.296,0.112,0.035
"P23","Puede que la vote",0.123,0.116,0.111,0.145,0.236,0.008
"P23","Nunca la votaría",0.594,0.704,0.59,0.317,0.61,0.607
"P23","No sabe",0.249,0.138,0.136,0.242,0.042,0.35
"P24","La votaría",0.047,0.034,0.046,0.117,0.409,0
"P24","Puede que la vote",0.102,0.109,0.097,0.07,0.212,0.035
"P24","Nunca la votaría",0.625,0.72,0.681,0.63,0.379,0.599
"P24","No sabe",0.226,0.137,0.176,0.183,0,0.366
"P25","Si",0.434,0.402,0.291,0.447,0.205,0.236
"P25","No",0.566,0.598,0.709,0.553,0.795,0.764
