"var","categoria","Si","No"
"P05","Mucho",0.473,0.347
"P05","Bastante",0.289,0.328
"P05","Poco",0.166,0.133
"P05","Nada",0.068,0.144
"P05","No sabe",0.004,0.048
"P06","Siempre",0.349,0.187
"P06","Casi siempre",0.373,0.217
"P06","Casi nunca",0.153,0.343
"P06","Nunca, pero esta es una excepción",0.125,0.253
"P08","Unión por la Patria",0.261,0.233
"P08","Juntos por el Cambio",0.316,0.249
"P08","De los Liberales libertarios",0.166,0.2
"P08","De la Izquierda",0.041,0.055
"P08","Hacemos por nuestro país",0.014,0.028
"P08","Otro",0.071,0.074
"P08","En blanco",0.041,0.07
"P08","No sabe",0.09,0.091
"P11","Arriba Chubut",0.31,0.244
"P11","Juntos por el Cambio Chubut",0.36,0.286
"P11","Por la Libertad Independiente Chubutense",0.095,0.159
"P11","Frente de Izquierda",0.056,0.057
"P11","Generación para un Encuentro Nacional",0.007,0.014
"P11","Otro",0.063,0.057
"P11","En blanco",0.038,0.087
"P11","No sabe",0.071,0.096
"P14","A Juan Pablo Luque gobernador y Ricardo Sastre vicegobernador por Arriba Chubut",0.372,0.299
"P14","A Ignacio Torres gobernador y Gustavo Menna vicegobernador por Juntos por el Cambio",0.354,0.302
"P14","A César Treffinger gobernador y Laura Mirantes vicegobernadora por La Libertad Independiente Chubutense",0.115,0.158
"P14","A Emilse Saavedra gobernadora y Julieta Rusconi vicegobernadora por el Frente de Izquierda y de los Trabajadores-Unidad",0.064,0.059
"P14","A Oscar Petersen gobernador y Nancy Lobos vicegobernadora por el GEN",0.011,0.028
"P14","En blanco",0.03,0.062
"P14","No sabe",0.054,0.092
"P17","A Juan Pablo Luque gobernador por la Alianza Arriba Chubut con el apoyo de Cristina Fernández de Kirchner, Sergio Massa, Alberto Fernández, Mariano Arcioni y el Peronismo",0.343,0.333
"P17","A Ignacio Torres gobernador por Juntos por el Cambio con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri, el PRO y la UCR",0.313,0.264
"P17","A César Treffinger gobernador por La Libertad Independiente Chubutense con el apoyo de Javier Milei",0.184,0.201
"P17","A Emilse Saavedra gobernadora por el Frente de Izquierda y de los Trabajadores-Unidad con el apoyo de Gabriel Solano y Vilma Ripoll",0.024,0.048
"P17","A Oscar Petersen gobernador por el GEN",0.015,0.023
"P17","En blanco",0.044,0.059
"P17","No sabe",0.077,0.072
"P20","La votaría",0.39,0.273
"P20","Puede que la vote",0.079,0.132
"P20","Nunca la votaría",0.464,0.476
"P20","No sabe",0.067,0.119
"P21","La votaría",0.364,0.252
"P21","Puede que la vote",0.09,0.124
"P21","Nunca la votaría",0.444,0.488
"P21","No sabe",0.102,0.136
"P22","La votaría",0.172,0.171
"P22","Puede que la vote",0.138,0.098
"P22","Nunca la votaría",0.583,0.581
"P22","No sabe",0.107,0.15
"P23","La votaría",0.074,0.07
"P23","Puede que la vote",0.101,0.094
"P23","Nunca la votaría",0.646,0.64
"P23","No sabe",0.179,0.196
"P24","La votaría",0.063,0.041
"P24","Puede que la vote",0.085,0.095
"P24","Nunca la votaría",0.664,0.658
"P24","No sabe",0.188,0.206
