"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"Arriba Chubut",0.246,0.279,0.213,0.188,0.277,0.295,0.194,0.253,0.23,0.273,0.248,0.216,0.262,0.291,0.276,0.25,0.509,0.149,0.183
"Juntos por el Cambio Chubut",0.296,0.285,0.307,0.219,0.258,0.383,0.465,0.234,0.312,0.35,0.295,0.313,0.292,0.267,0.253,0.345,0.196,0.608,0.174
"Por la Libertad Independiente Chubutense",0.131,0.171,0.09,0.187,0.119,0.107,0.079,0.148,0.12,0.127,0.132,0.142,0.071,0.198,0,0.179,0.092,0.13,0.107
"Frente de Izquierda",0.061,0.047,0.076,0.076,0.076,0.02,0.045,0.065,0.048,0.084,0.085,0.035,0.089,0.019,0.029,0.043,0.066,0.015,0.347
"Generación para un Encuentro Nacional",0.014,0.006,0.022,0.021,0.008,0.008,0.025,0.013,0.014,0.014,0.017,0.005,0.015,0.019,0.054,0.003,0,0.007,0.04
"Otro",0.058,0.057,0.058,0.071,0.051,0.063,0.042,0.073,0.06,0.032,0.056,0.067,0.034,0.046,0.261,0.036,0.044,0.02,0.008
"En blanco",0.08,0.092,0.068,0.106,0.084,0.042,0.069,0.103,0.08,0.048,0.073,0.086,0.108,0.052,0.055,0.064,0.033,0.042,0.064
"No sabe",0.114,0.063,0.166,0.132,0.127,0.082,0.081,0.111,0.136,0.072,0.094,0.136,0.129,0.108,0.072,0.08,0.06,0.029,0.077
