"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Comodoro Rivadavia/Rada Tilly/Sarmiento","Trelew/Rawson/Valle inferior Rio Chubut","Puerto Madryn","Esquel/Trevelin/Alto Rio Senguer/Región Andina","Arcioni","Linares","Menna","Sáez","NA"
"Si",0.385,0.397,0.371,0.348,0.401,0.374,0.416,0.413,0.362,0.395,0.375,0.356,0.505,0.317,0.375,0.359,0.495,0.408,0.246
"No",0.615,0.603,0.629,0.652,0.599,0.626,0.584,0.587,0.638,0.605,0.625,0.644,0.495,0.683,0.625,0.641,0.505,0.592,0.754
