"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Inflación",0.362,0.373,0.352,0.343,0.359,0.384,0.371,0.335,0.369,0.384,0.384,0.337,0.352,0.377,0.335,0.387,0.36,0.39,0.431,0.255,0.482,0.33
"Desempleo",0.09,0.081,0.098,0.102,0.102,0.069,0.071,0.113,0.095,0.055,0.109,0.046,0.15,0.094,0.128,0.063,0.07,0.135,0.243,0.057,0.035,0.056
"Corrupción",0.31,0.318,0.303,0.317,0.3,0.323,0.306,0.27,0.323,0.339,0.194,0.441,0.311,0.309,0.309,0.35,0.305,0.156,0.079,0.526,0.235,0.426
"Inseguridad",0.111,0.109,0.113,0.113,0.11,0.104,0.118,0.146,0.112,0.065,0.109,0.108,0.132,0.099,0.123,0.086,0.118,0.08,0.019,0.099,0.151,0.072
"Precio del dólar",0.023,0.023,0.024,0.035,0.022,0.012,0.022,0.02,0.029,0.019,0.049,0.005,0,0.013,0.015,0.042,0.034,0.005,0,0.007,0,0
"Pobreza",0.052,0.039,0.064,0.053,0.063,0.042,0.039,0.061,0.039,0.063,0.091,0.026,0.021,0.05,0.044,0.045,0.06,0.136,0.11,0.026,0,0.116
"Narcotráfico",0.008,0.01,0.006,0.01,0.003,0.009,0.015,0.011,0.006,0.008,0.011,0.01,0.002,0.009,0.003,0,0.011,0.007,0,0.014,0,0
"Tarifas",0.005,0.002,0.008,0,0.009,0.007,0.002,0.009,0.003,0.003,0.008,0.006,0.001,0.004,0.01,0.003,0.005,0.016,0,0,0,0
"Otro",0.026,0.029,0.023,0.023,0.023,0.03,0.031,0.014,0.018,0.052,0.032,0.017,0.012,0.03,0.018,0.021,0.027,0.063,0.085,0.016,0.083,0
"No sabe",0.013,0.016,0.009,0.004,0.009,0.02,0.025,0.021,0.006,0.012,0.013,0.004,0.019,0.015,0.015,0.003,0.01,0.012,0.033,0,0.014,0
