"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.252,0.1,0.629,0.453
"P10","Juntos por el Cambio",0.564,0.135,0.094,0.123
"P10","De los liberales libertarios",0.088,0.638,0.074,0.068
"P10","De la Izquierda",0.041,0.042,0.086,0.068
"P10","Hacemos por nuestro país",0.014,0.024,0.031,0.06
"P10","Otro",0.009,0.032,0.026,0.078
"P10","En blanco",0.01,0.015,0.034,0.036
"P10","No sabe",0.022,0.014,0.026,0.114
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.29,0.099,0.739,0.589
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.599,0.113,0.038,0.05
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.065,0.729,0.08,0.075
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.015,0.015,0.038,0.072
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.027,0.071,0.095
"P13","En blanco",0.001,0.006,0.023,0.039
"P13","No sabe",0.008,0.011,0.011,0.08
"P26","Totalmente seguro",0.737,0.781,0.757,0.563
"P26","Bastante seguro",0.118,0.099,0.143,0.144
"P26","Algo seguro",0.101,0.074,0.068,0.126
"P26","Para nada seguro",0.044,0.046,0.032,0.167
"P27","Tiene Decidido que va a ir a votar",0.935,0.932,0.911,0.807
"P27","Tiene dudas sobre si va a ir a  votar",0.048,0.044,0.045,0.114
"P27","Tiene Decidido que no va a ir a votar",0.017,0.024,0.044,0.079
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.448,0.214,0.789,0.685
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.521,0.374,0.034,0.047
"P28","En blanco",0.014,0.239,0.156,0.024
"P28","No sabe",0.017,0.173,0.021,0.244
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.491,0.076,0.646,0.553
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.18,0.837,0.093,0.058
"P30","En blanco",0.2,0.05,0.25,0.043
"P30","No sabe",0.129,0.037,0.011,0.346
"P38","Inflación",0.355,0.348,0.403,0.337
"P38","Desempleo",0.085,0.062,0.1,0.142
"P38","Corrupción",0.345,0.43,0.214,0.151
"P38","Inseguridad",0.115,0.09,0.109,0.144
"P38","Precio del dólar",0.018,0.005,0.035,0.051
"P38","Pobreza",0.04,0.039,0.068,0.082
"P38","Narcotráfico",0.003,0.003,0.008,0.028
"P38","Tarifas",0.004,0.003,0.004,0.014
"P38","Otro",0.023,0.012,0.042,0.035
"P38","No sabe",0.012,0.008,0.017,0.016
"P10_imputada","Unión por la Patria",0.258,0.105,0.632,0.503
"P10_imputada","Juntos por el Cambio",0.576,0.135,0.097,0.148
"P10_imputada","De los liberales libertarios",0.091,0.645,0.088,0.076
"P10_imputada","De la Izquierda",0.041,0.044,0.086,0.073
"P10_imputada","Hacemos por nuestro país",0.015,0.024,0.037,0.061
"P10_imputada","Otro",0.009,0.032,0.026,0.088
"P10_imputada","En blanco",0.01,0.015,0.034,0.051
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.292,0.099,0.749,0.627
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.601,0.117,0.038,0.06
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.068,0.732,0.081,0.094
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.015,0.015,0.038,0.073
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.023,0.031,0.071,0.101
"P13_imputada","En blanco",0.001,0.006,0.023,0.045
