"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Los candidatos a presidente y vicepresidente de la izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","En blanco"
"P26","Totalmente seguro",0.724,0.718,0.761,0.506,0.607,0.158
"P26","Bastante seguro",0.146,0.125,0.095,0.135,0.12,0.251
"P26","Algo seguro",0.086,0.107,0.08,0.101,0.133,0.168
"P26","Para nada seguro",0.044,0.05,0.064,0.258,0.14,0.423
"P27","Tiene Decidido que va a ir a votar",0.927,0.915,0.918,0.819,0.816,0.477
"P27","Tiene dudas sobre si va a ir a  votar",0.042,0.061,0.057,0.09,0.074,0.343
"P27","Tiene Decidido que no va a ir a votar",0.031,0.024,0.025,0.091,0.11,0.18
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.915,0.215,0.215,0.425,0.242,0.136
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.048,0.732,0.279,0.157,0.212,0.246
"P28","En blanco",0.008,0.028,0.291,0.174,0.248,0.312
"P28","No sabe",0.029,0.025,0.215,0.244,0.298,0.306
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.254,0.804,0.09,0.173,0.163,0.034
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.126,0.783,0.146,0.179,0.114
"P29","En blanco",0.434,0.034,0.072,0.299,0.339,0.369
"P29","No sabe",0.242,0.036,0.055,0.382,0.319,0.483
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.798,0.255,0.078,0.35,0.181,0.133
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.272,0.844,0.076,0.242,0.317
"P30","En blanco",0.103,0.278,0.037,0.259,0.298,0.331
"P30","No sabe",0.053,0.195,0.041,0.315,0.279,0.219
"P38","Inflación",0.405,0.299,0.361,0.349,0.374,0.316
"P38","Desempleo",0.123,0.078,0.057,0.066,0.065,0.124
"P38","Corrupción",0.149,0.42,0.449,0.322,0.352,0.23
"P38","Inseguridad",0.119,0.131,0.065,0.128,0.134,0.212
"P38","Precio del dólar",0.05,0.002,0.005,0.021,0,0.051
"P38","Pobreza",0.081,0.035,0.03,0.031,0.03,0.048
"P38","Narcotráfico",0.009,0.012,0.003,0,0,0
"P38","Tarifas",0.008,0.004,0.004,0,0,0
"P38","Otro",0.035,0.014,0.016,0.078,0.037,0.019
"P38","No sabe",0.021,0.005,0.01,0.005,0.008,0
