"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco"
"P26","Totalmente seguro",0.73,0.719,0.771,0.558,0.564,0.563,0.531
"P26","Bastante seguro",0.146,0.131,0.088,0.142,0.131,0.168,0.128
"P26","Algo seguro",0.1,0.085,0.087,0.146,0.128,0.067,0.038
"P26","Para nada seguro",0.024,0.065,0.054,0.154,0.177,0.202,0.303
"P27","Tiene Decidido que va a ir a votar",0.935,0.918,0.939,0.855,0.859,0.754,0.428
"P27","Tiene dudas sobre si va a ir a  votar",0.039,0.05,0.049,0.059,0.054,0.172,0.358
"P27","Tiene Decidido que no va a ir a votar",0.026,0.032,0.012,0.086,0.087,0.074,0.214
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.893,0.284,0.236,0.58,0.329,0.347,0.361
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.049,0.659,0.291,0.112,0.128,0.299,0.138
"P28","En blanco",0.026,0.031,0.263,0.183,0.264,0.119,0.179
"P28","No sabe",0.032,0.026,0.21,0.125,0.279,0.235,0.322
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.261,0.706,0.13,0.244,0.179,0.098,0.143
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.086,0.133,0.739,0.215,0.227,0.284,0.18
"P29","En blanco",0.427,0.08,0.083,0.346,0.282,0.191,0.338
"P29","No sabe",0.226,0.081,0.048,0.195,0.312,0.427,0.339
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.791,0.266,0.148,0.322,0.206,0.272,0.409
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.259,0.784,0.194,0.303,0.357,0.184
"P30","En blanco",0.071,0.291,0.035,0.274,0.275,0.077,0.297
"P30","No sabe",0.055,0.184,0.033,0.21,0.216,0.294,0.11
"P38","Inflación",0.406,0.336,0.342,0.341,0.484,0.232,0.204
"P38","Desempleo",0.128,0.048,0.068,0.137,0.085,0.092,0.176
"P38","Corrupción",0.152,0.405,0.424,0.316,0.277,0.417,0.257
"P38","Inseguridad",0.109,0.138,0.083,0.144,0.091,0.092,0.073
"P38","Precio del dólar",0.046,0.008,0.01,0,0.021,0,0.105
"P38","Pobreza",0.076,0.036,0.031,0.027,0,0.126,0.175
"P38","Narcotráfico",0.011,0.003,0.011,0,0,0.012,0.01
"P38","Tarifas",0.009,0.005,0.003,0,0,0,0
"P38","Otro",0.045,0.019,0.011,0.013,0.021,0.02,0
"P38","No sabe",0.018,0.002,0.017,0.022,0.021,0.009,0
