"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.436,0.446,0.426,0.375,0.423,0.449,0.464,0.347,0.497,0.438,0.35,0.317,0.457,0.381,0.595,0.452,0.465
"No",0.432,0.436,0.427,0.562,0.45,0.396,0.408,0.515,0.369,0.45,0.522,0.572,0.385,0.518,0.267,0.391,0.431
"No sabe",0.132,0.118,0.147,0.063,0.127,0.155,0.128,0.138,0.134,0.112,0.128,0.111,0.158,0.101,0.138,0.157,0.104
