"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.402,0.442,0.364,0.48,0.438,0.373,0.339,0.386,0.432,0.364,0.387,0.4,0.424,0.423,0.326,0.456,0.426
"No",0.46,0.422,0.497,0.48,0.43,0.468,0.515,0.457,0.426,0.5,0.503,0.489,0.438,0.449,0.544,0.372,0.436
"No sabe",0.138,0.136,0.139,0.04,0.132,0.159,0.146,0.157,0.142,0.136,0.11,0.111,0.138,0.128,0.13,0.172,0.138
