"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.486,0.462,0.509,0.652,0.479,0.471,0.484,0.549,0.462,0.462,0.489,0.388,0.506,0.505,0.376,0.508,0.55
"No",0.415,0.445,0.385,0.348,0.438,0.398,0.404,0.352,0.431,0.407,0.421,0.392,0.432,0.381,0.552,0.394,0.383
"No sabe",0.099,0.093,0.106,0,0.083,0.131,0.112,0.099,0.107,0.131,0.09,0.22,0.062,0.114,0.072,0.098,0.067
