"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Nunca",0.233,0.242,0.223,0.2,0.254,0.205,0.234,0.233,0.304,0.153,0.185,0.306,0.226,0.249,0.258,0.225,0.179
"Pocas veces",0.47,0.476,0.463,0.533,0.469,0.456,0.476,0.419,0.485,0.4,0.51,0.435,0.571,0.435,0.425,0.475,0.545
"Muchas veces",0.243,0.237,0.249,0.067,0.237,0.267,0.26,0.259,0.16,0.375,0.245,0.205,0.184,0.255,0.29,0.253,0.216
"Siempre",0.033,0.024,0.044,0.133,0.027,0.045,0.009,0.052,0.025,0.036,0.045,0.054,0.019,0.051,0.027,0,0.06
"No sabe",0.021,0.021,0.021,0.067,0.013,0.027,0.021,0.037,0.026,0.036,0.015,0,0,0.01,0,0.047,0
