"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.614,0.646,0.58,0.857,0.642,0.549,0.543,0.717,0.66,0.668,0.648,0.472,0.428,0.562,0.502,0.63,0.695
"No",0.386,0.354,0.42,0.143,0.358,0.451,0.457,0.283,0.34,0.332,0.352,0.528,0.572,0.438,0.498,0.37,0.305
