"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.632,0.647,0.618,0.611,0.628,0.628,0.657,0.626,0.627,0.677,0.622,0.689,0.589,0.645,0.661,0.667,0.487
"No",0.293,0.284,0.301,0.389,0.31,0.283,0.238,0.294,0.31,0.226,0.273,0.231,0.336,0.291,0.306,0.256,0.441
"No sabe",0.075,0.069,0.081,0,0.062,0.089,0.105,0.08,0.063,0.097,0.105,0.08,0.075,0.064,0.033,0.077,0.072
