"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.633,0.626,0.642,0.632,0.615,0.639,0.669,0.678,0.668,0.628,0.667,0.527,0.634,0.608,0.627,0.583,0.53
"No",0.292,0.285,0.299,0.263,0.329,0.263,0.256,0.257,0.251,0.304,0.276,0.384,0.245,0.314,0.319,0.342,0.376
"A veces",0.075,0.089,0.059,0.105,0.056,0.098,0.075,0.065,0.081,0.068,0.057,0.089,0.121,0.078,0.054,0.075,0.094
