"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.707,0.699,0.716,0.562,0.697,0.708,0.765,0.673,0.669,0.772,0.697,0.645,0.656,0.688,0.809,0.778,0.607
"No",0.251,0.269,0.23,0.438,0.248,0.253,0.207,0.287,0.294,0.167,0.233,0.355,0.297,0.248,0.172,0.222,0.33
"No sabe",0.042,0.032,0.054,0,0.055,0.039,0.028,0.04,0.037,0.061,0.07,0,0.047,0.064,0.019,0,0.063
