"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.559,0.573,0.544,0.375,0.542,0.585,0.605,0.532,0.515,0.579,0.586,0.476,0.572,0.6,0.633,0.501,0.593
"No",0.396,0.393,0.4,0.562,0.419,0.367,0.344,0.429,0.43,0.328,0.364,0.524,0.384,0.364,0.367,0.463,0.356
"No sabe",0.045,0.034,0.056,0.063,0.039,0.048,0.051,0.039,0.055,0.093,0.05,0,0.044,0.036,0,0.036,0.051
