"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","CABA","Centro","1 cordón GBA","2 cordón GBA","3 cordón GBA","Cuyo","Interior GBA","NEA","NOA","Patagonia"
"Si",0.371,0.367,0.375,0.536,0.369,0.345,0.38,0.369,0.372,0.353,0.35,0.393,0.455,0.384,0.371,0.345,0.349
"No",0.629,0.633,0.625,0.464,0.631,0.655,0.62,0.631,0.628,0.647,0.65,0.607,0.545,0.616,0.629,0.655,0.651
