"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"La nación",0.398,0.41,0.388,0.417,0.374,0.434,0.383,0.356,0.41,0.431,0.36,0.311,0.489,0.453
"La provincia",0.325,0.344,0.307,0.289,0.349,0.319,0.322,0.299,0.341,0.332,0.347,0.42,0.357,0.264
"El municipio",0.168,0.161,0.174,0.231,0.166,0.135,0.141,0.158,0.167,0.18,0.184,0.169,0.117,0.162
"No sabe",0.109,0.085,0.131,0.063,0.111,0.112,0.154,0.187,0.082,0.057,0.109,0.1,0.037,0.121
