"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Las montañas",0.208,0.252,0.165,0.197,0.221,0.197,0.209,0.184,0.211,0.231,0.196,0.31,0.127,0.19
"El campo",0.354,0.39,0.318,0.382,0.348,0.32,0.379,0.354,0.372,0.33,0.352,0.314,0.348,0.37
"El agua",0.069,0.06,0.078,0.06,0.064,0.066,0.094,0.095,0.06,0.052,0.072,0.092,0.105,0.054
"El aire",0.06,0.07,0.051,0.079,0.056,0.079,0.024,0.047,0.054,0.084,0.063,0.067,0.115,0.049
"Los bosques",0.016,0.019,0.014,0.023,0.003,0.024,0.027,0.031,0.005,0.014,0.027,0.013,0,0.011
"Los humedales",0.02,0.017,0.022,0.041,0.009,0.022,0.016,0.007,0.027,0.024,0.02,0.006,0.023,0.024
"No sabe",0.273,0.192,0.352,0.218,0.299,0.292,0.251,0.282,0.271,0.265,0.27,0.198,0.282,0.302
