"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P06","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.178,0.238,0.198,0.122
"P06","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.754,0.685,0.592,0.332
"P06","En blanco",0.059,0.038,0.095,0.141
"P06","Aun no tengo decidido mi voto",0.009,0.039,0.115,0.405
"P09","Tiene Decidido que va a ir a votar",0.967,0.816,0.728,0.735
"P09","Tiene dudas sobre si va a ir a  votar",0.02,0.149,0.163,0.178
"P09","Tiene Decidido que no va a ir a votar",0.013,0.035,0.109,0.087
"P10","Lo votaría",0.184,0.214,0.177,0.175
"P10","Puede que lo vote",0.038,0.123,0.14,0.155
"P10","Nunca lo votaría",0.771,0.656,0.641,0.523
"P10","No sabe",0.007,0.007,0.042,0.147
"P11","Lo votaría",0.719,0.487,0.338,0.291
"P11","Puede que lo vote",0.051,0.247,0.395,0.374
"P11","Nunca lo votaría",0.225,0.241,0.189,0.133
"P11","No sabe",0.005,0.025,0.078,0.202
"P12","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.143,0.137,0.626,0.63
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.857,0.863,0.374,0.37
"P14","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.011,0.075,0.1,0.01
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.968,0.88,0.583,0.549
"P14","En blanco",0.021,0.045,0.317,0.441
