"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.184,0.196,0.173,0.246,0.221,0.13,0.129,0.239,0.184,0.132,0.153,0.284,0.117,0.179
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.697,0.705,0.69,0.636,0.673,0.743,0.738,0.657,0.681,0.755,0.729,0.624,0.716,0.697
"En blanco",0.066,0.065,0.067,0.07,0.058,0.078,0.063,0.066,0.067,0.065,0.077,0.05,0.075,0.062
"Aun no tengo decidido mi voto",0.053,0.034,0.07,0.048,0.048,0.049,0.07,0.038,0.068,0.048,0.041,0.042,0.092,0.062
