"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza"
"P08","Totalmente seguro",0.395,0.808
"P08","Bastante seguro",0.036,0.077
"P08","Algo seguro",0.248,0.051
"P08","Para nada seguro",0.321,0.064
"P09","Tiene Decidido que va a ir a votar",0.786,0.866
"P09","Tiene dudas sobre si va a ir a  votar",0.053,0.079
"P09","Tiene Decidido que no va a ir a votar",0.161,0.055
"P10","Lo votaría",0.314,0.019
"P10","Puede que lo vote",0.232,0.055
"P10","Nunca lo votaría",0.435,0.884
"P10","No sabe",0.019,0.042
"P11","Lo votaría",0.231,0.19
"P11","Puede que lo vote",0.482,0.222
"P11","Nunca lo votaría",0.287,0.546
"P11","No sabe",0,0.042
