"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","Aun no tengo decidido mi voto"
"P08","Totalmente seguro",0.723,0.793,0.673,0.143
"P08","Bastante seguro",0.151,0.113,0.068,0.094
"P08","Algo seguro",0.079,0.061,0.107,0.174
"P08","Para nada seguro",0.047,0.033,0.152,0.589
"P09","Tiene Decidido que va a ir a votar",0.896,0.95,0.817,0.635
"P09","Tiene dudas sobre si va a ir a  votar",0.078,0.037,0.105,0.18
"P09","Tiene Decidido que no va a ir a votar",0.026,0.013,0.078,0.185
"P10","Lo votaría",0.766,0.053,0.076,0.084
"P10","Puede que lo vote",0.107,0.043,0.098,0.138
"P10","Nunca lo votaría",0.119,0.897,0.769,0.587
"P10","No sabe",0.008,0.007,0.057,0.191
"P11","Lo votaría",0.082,0.851,0.156,0.199
"P11","Puede que lo vote",0.094,0.099,0.253,0.344
"P11","Nunca lo votaría",0.811,0.043,0.537,0.142
"P11","No sabe",0.013,0.007,0.054,0.315
