"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.343,0.166,0.282,0.363,0.356,0.394,0.123,0.191,0.461
"P07","Al candidato de Juntos por el Cambio",0.439,0.439,0.366,0.293,0.301,0.054,0.291,0.14,0.281
"P07","Al candidato de los liberales - libertarios",0.077,0.188,0.23,0.164,0.121,0.19,0.553,0.161,0.081
"P07","Al candidato de la Izquierda",0.015,0.033,0,0.03,0.058,0.031,0,0.034,0.002
"P07","A otro candidato",0.032,0.12,0.043,0.015,0.084,0,0.024,0,0.091
"P07","No sabe",0.094,0.054,0.079,0.135,0.08,0.331,0.009,0.474,0.084
"P08","A Julio Zamora por el Frente de Todos",0.323,0.141,0.236,0.297,0.309,0.403,0.149,0.563,0.381
"P08","A Malena Galmarini por el Frente de Todos",0.093,0.09,0.141,0.136,0.1,0.116,0.026,0.032,0.117
"P08","A Segundo Cernadas por Cambiemos",0.377,0.351,0.271,0.265,0.238,0.13,0.642,0.154,0.198
"P08","A Nicolás Massot por Cambiemos",0.064,0.057,0.155,0.055,0.08,0,0.035,0,0.057
"P08","Al candidato de los liberales libertarios",0.052,0.133,0.112,0.081,0.1,0.086,0.147,0.101,0.053
"P08","A Paula Akerfeld por el Frente de Izquierda",0.02,0.064,0.018,0.068,0.069,0.032,0,0.048,0.002
"P08","No sabe",0.071,0.164,0.067,0.098,0.104,0.233,0.001,0.102,0.192
"P10","A Julio Zamora por el Frente de Todos",0.368,0.152,0.274,0.33,0.392,0.342,0.121,0.512,0.528
"P10","A Segundo Cernadas por Cambiemos",0.414,0.405,0.369,0.318,0.265,0.192,0.443,0.308,0.199
"P10","Al candidato de los liberales libertarios",0.088,0.237,0.208,0.197,0.132,0.087,0.401,0.115,0.071
"P10","A Paula Akerfeld por el Frente de Izquierda",0.015,0.071,0.012,0.042,0.076,0.108,0,0.034,0.023
"P10","No sabe",0.115,0.135,0.137,0.113,0.135,0.271,0.035,0.031,0.179
"P12","A Malena Galmarini por el Frente de Todos",0.376,0.155,0.263,0.324,0.23,0.21,0.067,0.032,0.376
"P12","A Segundo Cernadas por Cambiemos",0.358,0.524,0.405,0.382,0.333,0.097,0.501,0.154,0.228
"P12","Al candidato de los liberales libertarios",0.114,0.151,0.203,0.168,0.109,0.087,0.322,0.101,0.064
"P12","A Paula Akerfeld por el Frente de Izquierda",0.012,0.017,0,0.042,0.056,0.211,0,0.099,0.042
"P12","No sabe",0.14,0.153,0.129,0.084,0.272,0.395,0.11,0.614,0.29
"P14","Muy buena",0.204,0.046,0.063,0.094,0.112,0.062,0.037,0,0.208
"P14","Buena",0.098,0.219,0.128,0.2,0.154,0.29,0.105,0.048,0.115
"P14","Ni buena ni mala",0.263,0.139,0.194,0.154,0.214,0.368,0.26,0.486,0.171
"P14","Mala",0.092,0.18,0.245,0.226,0.177,0.258,0.176,0.014,0.143
"P14","Muy mala",0.298,0.416,0.264,0.305,0.295,0.022,0.421,0.35,0.273
"P14","No sabe",0.045,0,0.106,0.021,0.048,0,0.001,0.102,0.09
"P15","Muy buena",0.257,0.116,0.092,0.052,0.21,0.324,0.097,0.409,0.357
"P15","Buena",0.152,0.251,0.239,0.315,0.211,0.461,0.13,0.163,0.182
"P15","Ni buena ni mala",0.252,0.231,0.339,0.258,0.173,0.193,0.174,0.045,0.172
"P15","Mala",0.178,0.281,0.143,0.157,0.195,0,0.245,0.032,0.153
"P15","Muy mala",0.161,0.106,0.136,0.116,0.162,0.022,0.354,0.268,0.097
"P15","No sabe",0,0.015,0.051,0.102,0.049,0,0,0.083,0.039
"P16","Muy buena",0.299,0.199,0.126,0.169,0.115,0.126,0.334,0.111,0.192
"P16","Buena",0.11,0.252,0.187,0.231,0.133,0.023,0.173,0.061,0.114
"P16","Ni buena ni mala",0.328,0.297,0.364,0.246,0.326,0.38,0.188,0.218,0.271
"P16","Mala",0.13,0.063,0.193,0.117,0.16,0.115,0,0.336,0.054
"P16","Muy mala",0.095,0.119,0.095,0.091,0.202,0.292,0.189,0.067,0.21
"P16","No sabe",0.038,0.07,0.035,0.146,0.064,0.064,0.116,0.207,0.159
"P17","Muy buena",0.033,0.008,0.013,0.008,0.017,0.037,0,0.101,0.003
"P17","Buena",0.121,0.06,0.03,0.089,0.06,0,0.034,0.102,0.02
"P17","Ni buena ni mala",0.378,0.384,0.377,0.263,0.388,0.333,0.406,0.176,0.219
"P17","Mala",0.085,0.075,0.137,0.045,0.065,0.103,0.126,0.045,0.041
"P17","Muy mala",0.049,0.117,0.058,0.077,0.048,0,0.009,0.374,0.092
"P17","No sabe",0.334,0.356,0.385,0.518,0.422,0.527,0.425,0.202,0.625
"P18","Muy buena",0.184,0.104,0.115,0.041,0.026,0,0,0,0.029
"P18","Buena",0.041,0.153,0.192,0.15,0.15,0.103,0.174,0.075,0.083
"P18","Ni buena ni mala",0.411,0.289,0.41,0.291,0.333,0.183,0.438,0.189,0.197
"P18","Mala",0.054,0.132,0.082,0.084,0.099,0.175,0.152,0.038,0.084
"P18","Muy mala",0.034,0.088,0.093,0.1,0.063,0.202,0.022,0.257,0.169
"P18","No sabe",0.276,0.234,0.108,0.334,0.329,0.337,0.214,0.441,0.438
"P19","Muy buena",0.122,0.121,0.123,0.184,0.204,0.148,0.04,0.067,0.344
"P19","Buena",0.258,0.279,0.177,0.249,0.218,0.446,0.141,0.381,0.166
"P19","Ni buena ni mala",0.282,0.292,0.347,0.272,0.2,0.212,0.182,0.256,0.283
"P19","Mala",0.237,0.161,0.239,0.131,0.165,0.103,0.601,0.014,0.105
"P19","Muy mala",0.095,0.138,0.112,0.071,0.211,0.022,0.036,0.279,0.082
"P19","No sabe",0.006,0.009,0.002,0.093,0.002,0.069,0,0.003,0.02
"P20","Que continúe el intendente Julio Zamora",0.172,0.084,0.105,0.175,0.18,0.3,0.092,0.14,0.293
"P20","Que continúe Julio Zamora pero con mejoras",0.235,0.28,0.218,0.325,0.211,0.368,0.077,0.422,0.251
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.137,0.201,0.138,0.164,0.19,0.282,0.179,0.165,0.065
"P20","Que cambie el intendente Julio Zamora",0.456,0.435,0.539,0.336,0.419,0.05,0.652,0.273,0.391
"P21","Es kirchnerista",0.213,0.226,0.111,0.197,0.178,0.141,0.131,0.124,0.181
"P21","Forma parte del Frente de Todos",0.177,0.254,0.322,0.41,0.25,0.555,0.188,0.118,0.251
"P21","Es un hombre de Massa",0.174,0.173,0.116,0.117,0.179,0.032,0.054,0.22,0.107
"P21","Es un peronista independiente de centro",0.117,0.164,0.079,0.064,0.046,0.176,0.109,0.051,0.097
"P21","Es un oportunista y está donde le conviene",0.223,0.13,0.21,0.118,0.264,0,0.425,0.198,0.181
"P21","No sabe",0.096,0.053,0.162,0.094,0.083,0.096,0.093,0.289,0.183
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.164,0.17,0.197,0.116,0.143,0,0.139,0.104,0.11
"P22","Son aliados tácticos pero lo ocultan",0.038,0.157,0.11,0.178,0.195,0.187,0.265,0.102,0.056
"P22","Son adversarios políticos",0.513,0.44,0.499,0.408,0.397,0.356,0.264,0.636,0.346
"P22","No sabe",0.285,0.233,0.194,0.298,0.265,0.457,0.332,0.158,0.488
"P23","Son lo mismo, ambos son de Massa",0.32,0.239,0.26,0.238,0.173,0.211,0.145,0.094,0.169
"P23","Son aliados en el Frente de Todos pero compiten",0.34,0.319,0.194,0.367,0.426,0.49,0.357,0.403,0.342
"P23","Son enemigos porque Zamora traicionó a Massa",0.192,0.229,0.356,0.258,0.206,0,0.383,0.163,0.128
"P23","No sabe",0.148,0.213,0.19,0.137,0.195,0.299,0.115,0.34,0.361
"P24","La seguridad",0.154,0.291,0.282,0.298,0.248,0.028,0.188,0.307,0.172
"P24","El tránsito",0.137,0.098,0.058,0.086,0.047,0.061,0,0,0.079
"P24","El arreglo de las calles",0.164,0.084,0.177,0.189,0.049,0.215,0.184,0.083,0.06
"P24","El estado de las escuelas y la educación",0.016,0.026,0.066,0.077,0.039,0,0.172,0,0.138
"P24","El sistema de salud",0.092,0.039,0.1,0.039,0.105,0.092,0.094,0.031,0.056
"P24","El deporte y la cultura",0.081,0.063,0.033,0.116,0.117,0.279,0.077,0,0.046
"P24","La obra pública",0.059,0.033,0.03,0.031,0.049,0,0.068,0.089,0.039
"P24","La luminaria",0.064,0.063,0.099,0.056,0.136,0.325,0.036,0.375,0.055
"P24","No sabe",0.233,0.303,0.155,0.108,0.21,0,0.181,0.115,0.355
"P26","Agua corriente y cloacas",0.664,0.468,0.407,0.436,0.356,0.318,0.566,0.687,0.326
"P26","Energía eléctrica",0.061,0.245,0.104,0.156,0.071,0,0.098,0,0.083
"P26","Red de gas natural",0.049,0.027,0.257,0.012,0.065,0,0.077,0,0.14
"P26","Recolección de residuos",0.049,0.064,0.129,0.199,0.137,0,0.052,0.294,0.066
"P26","Ninguno",0.177,0.196,0.103,0.197,0.371,0.682,0.207,0.019,0.385
