"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.807,0.526,0.12,0.061,0.007,0.079,0.077
"P07","Al candidato de Juntos por el Cambio",0.047,0.306,0.695,0.724,0.043,0.025,0.176
"P07","Al candidato de los liberales - libertarios",0.025,0.015,0.118,0.125,0.905,0.164,0.055
"P07","Al candidato de la Izquierda",0.002,0.013,0.002,0,0,0.497,0.015
"P07","A otro candidato",0.024,0.038,0.029,0.05,0.032,0.007,0.24
"P07","No sabe",0.095,0.102,0.036,0.04,0.013,0.228,0.437
"P10","A Julio Zamora por el Frente de Todos",0.846,0.507,0.107,0.138,0.012,0.099,0.071
"P10","A Segundo Cernadas por Cambiemos",0.056,0.147,0.746,0.537,0.016,0.099,0.248
"P10","Al candidato de los liberales libertarios",0.059,0.008,0.139,0.108,0.802,0.067,0.033
"P10","A Paula Akerfeld por el Frente de Izquierda",0.002,0.057,0.005,0.013,0.019,0.622,0.014
"P10","No sabe",0.037,0.281,0.003,0.204,0.151,0.113,0.634
"P12","A Malena Galmarini por el Frente de Todos",0.528,0.822,0.113,0.035,0.012,0.106,0.045
"P12","A Segundo Cernadas por Cambiemos",0.11,0.125,0.807,0.664,0.021,0.086,0.24
"P12","Al candidato de los liberales libertarios",0.054,0.005,0.055,0.139,0.838,0.186,0.036
"P12","A Paula Akerfeld por el Frente de Izquierda",0.031,0.021,0.003,0.006,0,0.503,0.016
"P12","No sabe",0.277,0.027,0.022,0.156,0.129,0.119,0.663
"P14","Muy buena",0.116,0.467,0.1,0.038,0.007,0.059,0.036
"P14","Buena",0.292,0.311,0.053,0.107,0.016,0.03,0.1
"P14","Ni buena ni mala",0.327,0.089,0.157,0.134,0.127,0.357,0.204
"P14","Mala",0.108,0.107,0.172,0.285,0.153,0.157,0.258
"P14","Muy mala",0.122,0.007,0.467,0.418,0.539,0.311,0.273
"P14","No sabe",0.035,0.019,0.051,0.018,0.158,0.086,0.129
"P15","Muy buena",0.457,0.128,0.116,0.008,0.022,0.009,0.047
"P15","Buena",0.324,0.395,0.111,0.242,0.125,0.129,0.199
"P15","Ni buena ni mala",0.182,0.225,0.26,0.286,0.145,0.341,0.295
"P15","Mala",0.015,0.113,0.245,0.211,0.268,0.26,0.274
"P15","Muy mala",0.006,0.049,0.263,0.187,0.318,0.173,0.081
"P15","No sabe",0.016,0.09,0.005,0.066,0.122,0.088,0.104
"P16","Muy buena",0.072,0.165,0.438,0.115,0.015,0.019,0.096
"P16","Buena",0.043,0.072,0.272,0.346,0.158,0.068,0.123
"P16","Ni buena ni mala",0.338,0.236,0.155,0.41,0.306,0.311,0.503
"P16","Mala",0.213,0.206,0.053,0.08,0.089,0.182,0.04
"P16","Muy mala",0.219,0.203,0.076,0.012,0.221,0.243,0.07
"P16","No sabe",0.115,0.118,0.006,0.037,0.211,0.177,0.168
"P17","Muy buena",0.039,0.009,0.02,0.052,0.024,0,0.003
"P17","Buena",0.037,0.051,0.069,0.072,0.031,0.021,0.07
"P17","Ni buena ni mala",0.337,0.275,0.393,0.337,0.302,0.279,0.213
"P17","Mala",0.111,0.07,0.074,0.09,0.031,0.099,0.044
"P17","Muy mala",0.089,0.013,0.085,0.027,0.172,0.167,0.034
"P17","No sabe",0.387,0.582,0.359,0.422,0.44,0.434,0.636
"P18","Muy buena",0.035,0.044,0.123,0.297,0.015,0.042,0
"P18","Buena",0.037,0.125,0.137,0.367,0.083,0.026,0.149
"P18","Ni buena ni mala",0.362,0.231,0.344,0.225,0.352,0.391,0.272
"P18","Mala",0.127,0.184,0.079,0.043,0.054,0.03,0.04
"P18","Muy mala",0.138,0.098,0.102,0,0.181,0.221,0.04
"P18","No sabe",0.301,0.318,0.215,0.068,0.315,0.29,0.499
"P19","Muy buena",0.423,0.187,0.065,0.004,0,0.076,0.031
"P19","Buena",0.394,0.332,0.137,0.156,0.051,0.088,0.213
"P19","Ni buena ni mala",0.115,0.182,0.311,0.346,0.269,0.497,0.371
"P19","Mala",0.034,0.163,0.276,0.234,0.232,0.094,0.223
"P19","Muy mala",0.03,0.079,0.194,0.256,0.308,0.205,0.096
"P19","No sabe",0.004,0.057,0.017,0.004,0.14,0.04,0.066
"P20","Que continúe el intendente Julio Zamora",0.475,0.186,0.032,0.027,0.06,0.049,0.052
"P20","Que continúe Julio Zamora pero con mejoras",0.442,0.311,0.075,0.11,0.149,0.25,0.29
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.046,0.178,0.216,0.156,0.159,0.273,0.241
"P20","Que cambie el intendente Julio Zamora",0.037,0.325,0.677,0.707,0.632,0.428,0.417
"P21","Es kirchnerista",0.19,0.164,0.166,0.225,0.227,0.192,0.042
"P21","Forma parte del Frente de Todos",0.429,0.29,0.206,0.136,0.208,0.101,0.237
"P21","Es un hombre de Massa",0.158,0.206,0.124,0.108,0.059,0.158,0.129
"P21","Es un peronista independiente de centro",0.094,0.114,0.13,0.057,0.032,0.174,0.03
"P21","Es un oportunista y está donde le conviene",0.035,0.107,0.27,0.424,0.321,0.318,0.158
"P21","No sabe",0.094,0.119,0.104,0.05,0.153,0.057,0.404
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.07,0.28,0.071,0.132,0.343,0.434,0.179
"P22","Son aliados tácticos pero lo ocultan",0.091,0.154,0.101,0.114,0.216,0.191,0.173
"P22","Son adversarios políticos",0.554,0.278,0.564,0.503,0.224,0.114,0.075
"P22","No sabe",0.285,0.288,0.264,0.251,0.217,0.261,0.573
"P23","Son lo mismo, ambos son de Massa",0.099,0.198,0.365,0.181,0.353,0.243,0.153
"P23","Son aliados en el Frente de Todos pero compiten",0.478,0.461,0.233,0.264,0.243,0.217,0.237
"P23","Son enemigos porque Zamora traicionó a Massa",0.186,0.235,0.258,0.398,0.201,0.412,0.132
"P23","No sabe",0.237,0.106,0.144,0.157,0.203,0.128,0.478
"P24","La seguridad",0.217,0.231,0.263,0.268,0.446,0.052,0.079
"P24","El tránsito",0.131,0.062,0.057,0.077,0.017,0,0.068
"P24","El arreglo de las calles",0.197,0.168,0.076,0.097,0.021,0.071,0.117
"P24","El estado de las escuelas y la educación",0.097,0.114,0.04,0.005,0.012,0.083,0.045
"P24","El sistema de salud",0.095,0.095,0.091,0.11,0.018,0.053,0
"P24","El deporte y la cultura",0.067,0.12,0.097,0.101,0.073,0.082,0.034
"P24","La obra pública",0.101,0.004,0.025,0.007,0.006,0.06,0.016
"P24","La luminaria",0.052,0.036,0.073,0.164,0.075,0.163,0.218
"P24","No sabe",0.043,0.17,0.278,0.171,0.332,0.436,0.423
"P25","La seguridad",0.185,0.143,0.213,0.141,0.095,0.087,0.106
"P25","El tránsito",0.061,0.105,0.151,0.096,0.183,0.208,0.186
"P25","El arreglo de las calles",0.129,0.207,0.147,0.328,0.194,0.075,0.096
"P25","El estado de las escuelas y la educación",0.143,0.176,0.126,0.104,0.125,0.244,0.124
"P25","El sistema de salud",0.202,0.176,0.153,0.202,0.208,0.335,0.178
"P25","El deporte y la cultura",0.026,0.02,0.008,0,0.018,0.015,0.04
"P25","La obra pública",0.022,0.01,0.093,0.02,0.068,0,0.001
"P25","La luminaria",0.045,0.007,0.012,0,0.026,0.029,0.022
"P25","No sabe",0.187,0.156,0.097,0.109,0.083,0.007,0.247
"P26","Agua corriente y cloacas",0.382,0.508,0.522,0.534,0.455,0.457,0.32
"P26","Energía eléctrica",0.091,0.087,0.105,0.06,0.187,0.208,0.116
"P26","Red de gas natural",0.115,0.099,0.083,0.149,0.048,0.015,0.043
"P26","Recolección de residuos",0.092,0.09,0.108,0.118,0.158,0.093,0.125
"P26","Ninguno",0.32,0.216,0.182,0.139,0.152,0.227,0.396
"P27","Los robos",0.285,0.334,0.309,0.172,0.243,0.411,0.311
"P27","El narcotráfico",0.238,0.225,0.351,0.412,0.394,0.212,0.234
"P27","La ausencia de patrulleros y personal policial",0.154,0.153,0.135,0.143,0.134,0.025,0.119
"P27","Otro",0.185,0.168,0.105,0.231,0.178,0.241,0.244
"P27","Ninguno",0.138,0.12,0.1,0.042,0.051,0.111,0.092
"P28","Frente de Todos y el peronismo",0.658,0.583,0.121,0.051,0.009,0.203,0.08
"P28","Cambiemos",0.103,0.229,0.693,0.662,0.035,0.042,0.108
"P28","Liberales Libertarios",0.056,0.048,0.135,0.187,0.886,0.008,0.088
"P28","Izquierda",0.033,0.013,0.005,0.04,0.013,0.306,0.042
"P28","No sabe",0.15,0.127,0.046,0.06,0.057,0.441,0.682
"P30","A Alberto Fernández",0.271,0,0.069,0.057,0.062,0,0.125
"P30","A Sergio Massa",0.252,0.504,0.073,0.323,0.363,0.263,0.284
"P30","A algún candidato del peronismo",0.232,0.189,0.608,0.62,0.575,0.293,0.591
"P30","A algún candidato del kirchnerismo",0.245,0.307,0.25,0,0,0.444,0
"P31","A Alberto Fernández",0.124,0,0.125,0,0,0,0.135
"P31","A Sergio Massa",0.203,0.464,0.043,0.077,0.485,0.563,0.464
"P31","A algún candidato del peronismo",0.209,0.097,0.698,0.923,0.515,0.085,0.257
"P31","A Cristina Fernández de Kirchner",0.464,0.439,0.134,0,0,0.352,0.144
"P32","A Horacio Rodriguez Larreta",0.36,0.487,0.215,0.153,0.065,0.176,0.298
"P32","A Mauricio Macri",0.144,0.038,0.373,0.251,0.078,0.096,0.045
"P32","A Patricia Bullrich",0.088,0.013,0.333,0.358,0.674,0,0.187
"P32","A Facundo Manes",0.272,0.39,0.075,0.188,0.176,0.238,0.195
