"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P07","Al candidato del Frente de Todos",0.363,0.571,0.348,0.251,0.071,0.217
"P07","Al candidato de Juntos por el Cambio",0.384,0.182,0.305,0.362,0.481,0.18
"P07","Al candidato de los liberales - libertarios",0.224,0.102,0.113,0.126,0.311,0.153
"P07","Al candidato de la Izquierda",0.003,0.001,0.057,0.051,0.057,0
"P07","A otro candidato",0.008,0.065,0.05,0.103,0.057,0.117
"P07","No sabe",0.018,0.079,0.127,0.107,0.023,0.333
"P08","A Julio Zamora por el Frente de Todos",0.331,0.465,0.344,0.303,0.055,0.21
"P08","A Malena Galmarini por el Frente de Todos",0.1,0.11,0.157,0.128,0.059,0.093
"P08","A Segundo Cernadas por Cambiemos",0.261,0.203,0.246,0.378,0.386,0.211
"P08","A Nicolás Massot por Cambiemos",0.097,0.036,0.059,0.045,0.165,0.027
"P08","Al candidato de los liberales libertarios",0.14,0.08,0.046,0.036,0.179,0.122
"P08","A Paula Akerfeld por el Frente de Izquierda",0.045,0.015,0.047,0.076,0.068,0.017
"P08","No sabe",0.026,0.091,0.101,0.034,0.088,0.32
"P10","A Julio Zamora por el Frente de Todos",0.385,0.537,0.443,0.347,0.079,0.247
"P10","A Segundo Cernadas por Cambiemos",0.342,0.214,0.274,0.312,0.458,0.265
"P10","Al candidato de los liberales libertarios",0.184,0.158,0.088,0.248,0.232,0.097
"P10","A Paula Akerfeld por el Frente de Izquierda",0.046,0.021,0.048,0.015,0.096,0.005
"P10","No sabe",0.043,0.07,0.147,0.078,0.135,0.386
"P12","A Malena Galmarini por el Frente de Todos",0.351,0.416,0.315,0.163,0.13,0.157
"P12","A Segundo Cernadas por Cambiemos",0.284,0.256,0.386,0.498,0.442,0.282
"P12","Al candidato de los liberales libertarios",0.174,0.137,0.061,0.139,0.235,0.156
"P12","A Paula Akerfeld por el Frente de Izquierda",0.016,0.02,0.047,0.036,0.079,0.01
"P12","No sabe",0.175,0.171,0.191,0.164,0.114,0.395
"P14","Muy buena",0.118,0.131,0.154,0.138,0.07,0.094
"P14","Buena",0.143,0.286,0.147,0.109,0.042,0.105
"P14","Ni buena ni mala",0.199,0.175,0.345,0.185,0.117,0.275
"P14","Mala",0.219,0.152,0.105,0.158,0.196,0.15
"P14","Muy mala",0.3,0.207,0.211,0.384,0.552,0.118
"P14","No sabe",0.021,0.049,0.038,0.026,0.023,0.258
"P15","Muy buena",0.22,0.293,0.164,0.366,0.014,0.141
"P15","Buena",0.231,0.287,0.283,0.149,0.093,0.243
"P15","Ni buena ni mala",0.213,0.196,0.317,0.171,0.151,0.305
"P15","Mala",0.201,0.083,0.118,0.142,0.353,0.146
"P15","Muy mala",0.099,0.102,0.091,0.143,0.365,0.016
"P15","No sabe",0.036,0.039,0.027,0.029,0.024,0.149
"P16","Muy buena",0.255,0.153,0.107,0.148,0.237,0.181
"P16","Buena",0.195,0.125,0.115,0.211,0.135,0.137
"P16","Ni buena ni mala",0.273,0.257,0.408,0.279,0.314,0.281
"P16","Mala",0.125,0.151,0.118,0.16,0.101,0.128
"P16","Muy mala",0.097,0.228,0.098,0.14,0.171,0.043
"P16","No sabe",0.055,0.086,0.154,0.062,0.042,0.23
"P17","Muy buena",0.031,0.01,0.027,0.031,0.033,0
"P17","Buena",0.111,0.057,0.065,0.084,0.02,0.008
"P17","Ni buena ni mala",0.386,0.287,0.27,0.404,0.36,0.283
"P17","Mala",0.062,0.087,0.061,0.107,0.116,0.074
"P17","Muy mala",0.041,0.099,0.058,0.113,0.082,0.05
"P17","No sabe",0.369,0.46,0.519,0.261,0.389,0.585
"P18","Muy buena",0.146,0.043,0.029,0.138,0.113,0.023
"P18","Buena",0.135,0.162,0.078,0.048,0.153,0.045
"P18","Ni buena ni mala",0.345,0.293,0.323,0.388,0.329,0.321
"P18","Mala",0.086,0.119,0.063,0.118,0.088,0.073
"P18","Muy mala",0.104,0.129,0.071,0.114,0.118,0.021
"P18","No sabe",0.184,0.254,0.436,0.194,0.199,0.517
"P19","Muy buena",0.219,0.263,0.193,0.256,0.01,0.101
"P19","Buena",0.219,0.324,0.275,0.254,0.035,0.249
"P19","Ni buena ni mala",0.29,0.196,0.314,0.219,0.233,0.339
"P19","Mala",0.199,0.109,0.125,0.172,0.382,0.088
"P19","Muy mala",0.066,0.088,0.088,0.099,0.325,0.076
"P19","No sabe",0.007,0.02,0.005,0,0.015,0.147
"P20","Que continúe el intendente Julio Zamora",0.286,0.29,0.166,0.233,0.009,0.08
"P20","Que continúe Julio Zamora pero con mejoras",0.166,0.368,0.347,0.159,0.059,0.348
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.183,0.099,0.208,0.147,0.13,0.201
"P20","Que cambie el intendente Julio Zamora",0.365,0.243,0.279,0.461,0.802,0.371
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.242,0.085,0.168,0.108,0.197,0.098
"P22","Son aliados tácticos pero lo ocultan",0.124,0.159,0.099,0.057,0.186,0.05
"P22","Son adversarios políticos",0.452,0.519,0.42,0.471,0.364,0.222
"P22","No sabe",0.182,0.237,0.313,0.364,0.253,0.63
"P23","Son lo mismo, ambos son de Massa",0.298,0.152,0.278,0.233,0.288,0.128
"P23","Son aliados en el Frente de Todos pero compiten",0.381,0.509,0.34,0.168,0.2,0.182
"P23","Son enemigos porque Zamora traicionó a Massa",0.211,0.184,0.225,0.259,0.37,0.13
"P23","No sabe",0.11,0.155,0.157,0.34,0.142,0.56
"P24","La seguridad",0.19,0.243,0.291,0.377,0.191,0.197
"P24","El tránsito",0.107,0.109,0.074,0.054,0.057,0.003
"P24","El arreglo de las calles",0.147,0.179,0.079,0.036,0.063,0.156
"P24","El estado de las escuelas y la educación",0.016,0.1,0.062,0.087,0.013,0.093
"P24","El sistema de salud",0.095,0.094,0.123,0.058,0.028,0.039
"P24","El deporte y la cultura",0.07,0.058,0.1,0.08,0.135,0.04
"P24","La obra pública",0.091,0.051,0.006,0.014,0.029,0.032
"P24","La luminaria",0.101,0.073,0.09,0.023,0.136,0.084
"P24","No sabe",0.183,0.093,0.175,0.271,0.348,0.356
"P25","La seguridad",0.197,0.107,0.202,0.209,0.183,0.138
"P25","El tránsito",0.158,0.117,0.153,0.221,0.081,0.058
"P25","El arreglo de las calles",0.098,0.186,0.129,0.135,0.165,0.222
"P25","El estado de las escuelas y la educación",0.154,0.209,0.115,0.096,0.082,0.113
"P25","El sistema de salud",0.187,0.172,0.238,0.093,0.248,0.136
"P25","El deporte y la cultura",0.015,0.039,0.004,0.036,0,0.016
"P25","La obra pública",0.031,0.029,0.016,0.049,0.089,0.034
"P25","La luminaria",0.016,0.01,0.036,0.013,0.023,0.058
"P25","No sabe",0.144,0.131,0.107,0.148,0.129,0.225
"P26","Agua corriente y cloacas",0.578,0.392,0.43,0.383,0.444,0.483
"P26","Energía eléctrica",0.052,0.163,0.094,0.194,0.079,0.066
"P26","Red de gas natural",0.143,0.063,0.084,0.081,0.066,0.118
"P26","Recolección de residuos",0.045,0.101,0.115,0.108,0.191,0.069
"P26","Ninguno",0.182,0.281,0.277,0.234,0.22,0.264
"P27","Los robos",0.369,0.271,0.317,0.453,0.163,0.31
"P27","El narcotráfico",0.363,0.29,0.331,0.207,0.372,0.095
"P27","La ausencia de patrulleros y personal policial",0.066,0.161,0.126,0.065,0.186,0.168
"P27","Otro",0.112,0.194,0.114,0.109,0.169,0.323
"P27","Ninguno",0.09,0.084,0.112,0.166,0.11,0.104
"P28","Frente de Todos y el peronismo",0.363,0.469,0.417,0.217,0.1,0.155
"P28","Cambiemos",0.385,0.227,0.21,0.456,0.492,0.205
"P28","Liberales Libertarios",0.171,0.111,0.164,0.122,0.304,0.085
"P28","Izquierda",0.006,0.046,0.063,0.014,0.045,0
"P28","No sabe",0.075,0.147,0.146,0.191,0.059,0.555
"P30","A Alberto Fernández",0.159,0.123,0.291,0.158,0,0
"P30","A Sergio Massa",0.116,0.389,0.455,0.033,0.121,0.281
"P30","A algún candidato del peronismo",0.491,0.305,0.232,0.412,0.555,0.637
"P30","A algún candidato del kirchnerismo",0.234,0.183,0.022,0.397,0.324,0.082
"P31","A Alberto Fernández",0.152,0.021,0.105,0,0.165,0
"P31","A Sergio Massa",0.138,0.398,0.291,0,0.157,0.293
"P31","A algún candidato del peronismo",0.468,0.281,0.308,0.507,0.522,0.486
"P31","A Cristina Fernández de Kirchner",0.242,0.3,0.296,0.493,0.156,0.221
"P32","A Horacio Rodriguez Larreta",0.26,0.283,0.363,0.216,0.204,0.269
"P32","A Mauricio Macri",0.131,0.148,0.207,0.047,0.442,0.15
"P32","A Patricia Bullrich",0.347,0.162,0.152,0.405,0.246,0.223
"P32","A Facundo Manes",0.151,0.297,0.169,0.324,0.06,0.244
"P32","A Gerardo Morales",0.111,0.11,0.109,0.008,0.048,0.114
"P33","Seguro lo votaria",0.311,0.29,0.076,0.403,0.29,0.147
"P33","Quizás lo votaría",0.312,0.26,0.3,0.177,0.254,0.21
"P33","Nunca lo votaría",0.377,0.45,0.624,0.42,0.456,0.643
"P34","Muy buena",0.098,0.183,0.032,0.248,0.089,0.037
"P34","Buena",0.108,0.144,0.199,0.092,0.093,0.017
"P34","Ni buena ni mala",0.146,0.209,0.173,0.121,0.075,0.219
"P34","Mala",0.073,0.12,0.12,0.209,0.101,0.152
"P34","Muy mala",0.575,0.332,0.421,0.33,0.642,0.523
"P34","No sabe",0,0.012,0.055,0,0,0.052
"P35","Muy buena",0.198,0.06,0.121,0.341,0.258,0.158
"P35","Buena",0.151,0.169,0.111,0.073,0.15,0.253
