"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P07","Al candidato del Frente de Todos",0.747,0.112,0.071,0.273,0.379
"P07","Al candidato de Juntos por el Cambio",0.15,0.678,0.074,0.057,0.105
"P07","Al candidato de los liberales - libertarios",0.005,0.071,0.825,0.101,0.088
"P07","Al candidato de la Izquierda",0.003,0.002,0.014,0.535,0.009
"P07","A otro candidato",0.022,0.068,0.004,0.008,0.135
"P07","No sabe",0.073,0.069,0.012,0.026,0.284
"P08","A Julio Zamora por el Frente de Todos",0.531,0.094,0.11,0.267,0.43
"P08","A Malena Galmarini por el Frente de Todos",0.322,0.042,0.004,0.072,0.016
"P08","A Segundo Cernadas por Cambiemos",0.103,0.632,0.101,0.026,0.031
"P08","A Nicolás Massot por Cambiemos",0.009,0.143,0.07,0.014,0.061
"P08","Al candidato de los liberales libertarios",0.005,0.007,0.641,0,0.076
"P08","A Paula Akerfeld por el Frente de Izquierda",0.014,0.01,0.049,0.573,0.024
"P08","No sabe",0.016,0.072,0.025,0.048,0.362
"P10","A Julio Zamora por el Frente de Todos",0.741,0.166,0.052,0.194,0.386
"P10","A Segundo Cernadas por Cambiemos",0.106,0.743,0.027,0.12,0.057
"P10","Al candidato de los liberales libertarios",0.012,0.073,0.8,0.044,0.07
"P10","A Paula Akerfeld por el Frente de Izquierda",0.024,0.004,0.045,0.574,0.015
"P10","No sabe",0.117,0.014,0.076,0.068,0.472
"P14","Muy buena",0.336,0.068,0.002,0,0.027
"P14","Buena",0.379,0.093,0.01,0.066,0.061
"P14","Ni buena ni mala",0.168,0.154,0.268,0.286,0.293
"P14","Mala",0.055,0.209,0.198,0.232,0.185
"P14","Muy mala",0.028,0.427,0.403,0.416,0.34
"P14","No sabe",0.034,0.049,0.119,0,0.094
"P15","Muy buena",0.312,0.111,0.017,0.132,0.285
"P15","Buena",0.346,0.19,0.141,0.195,0.182
