"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P07","Al candidato del Frente de Todos",0.379,0.116,0.03,0.594,0.388
"P07","Al candidato de Juntos por el Cambio",0.372,0.7,0.434,0.178,0.074
"P07","Al candidato de los liberales - libertarios",0.066,0.044,0.424,0.089,0.189
"P07","Al candidato de la Izquierda",0.023,0.003,0,0.061,0.025
"P07","A otro candidato",0.027,0.086,0.056,0.055,0.185
"P07","No sabe",0.133,0.051,0.056,0.023,0.139
"P08","A Julio Zamora por el Frente de Todos",0.339,0.189,0.093,0.348,0.381
"P08","A Malena Galmarini por el Frente de Todos",0.22,0.024,0.006,0.238,0.096
"P08","A Segundo Cernadas por Cambiemos",0.248,0.599,0.43,0.118,0.012
"P08","A Nicolás Massot por Cambiemos",0.048,0.11,0.126,0.08,0.046
"P08","Al candidato de los liberales libertarios",0.024,0.04,0.276,0.088,0.008
"P08","A Paula Akerfeld por el Frente de Izquierda",0.023,0.018,0,0.042,0.19
"P08","No sabe",0.098,0.02,0.069,0.086,0.267
"P10","A Julio Zamora por el Frente de Todos",0.407,0.199,0.089,0.566,0.373
"P10","A Segundo Cernadas por Cambiemos",0.303,0.69,0.41,0.192,0.061
"P10","Al candidato de los liberales libertarios",0.111,0.063,0.456,0.104,0.018
"P10","A Paula Akerfeld por el Frente de Izquierda",0.028,0.003,0.001,0.061,0.179
"P10","No sabe",0.151,0.045,0.044,0.077,0.369
"P12","A Malena Galmarini por el Frente de Todos",0.266,0.175,0.045,0.592,0.411
"P12","A Segundo Cernadas por Cambiemos",0.4,0.669,0.484,0.138,0.054
"P12","Al candidato de los liberales libertarios",0.044,0.101,0.35,0.087,0.172
"P12","A Paula Akerfeld por el Frente de Izquierda",0.024,0.003,0,0.066,0.038
"P12","No sabe",0.266,0.052,0.121,0.117,0.325
"P14","Muy buena",0.153,0.079,0.02,0.204,0.227
"P14","Buena",0.235,0.046,0.048,0.444,0.084
"P14","Ni buena ni mala",0.201,0.199,0.196,0.077,0.296
"P14","Mala",0.231,0.295,0.154,0.113,0.06
