"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"A Malena Galmarini por el Frente de Todos",0.291,0.302,0.281,0.259,0.31,0.277,0.3,0.314,0.303,0.248,0.315,0.248,0.287,0.513,0.127,0.165
"A Segundo Cernadas por Cambiemos",0.341,0.31,0.37,0.287,0.334,0.359,0.405,0.333,0.335,0.359,0.329,0.352,0.348,0.144,0.572,0.438
"Al candidato de los liberales libertarios",0.146,0.195,0.1,0.283,0.122,0.128,0.062,0.137,0.14,0.163,0.154,0.11,0.152,0.088,0.158,0.098
"A Paula Akerfeld por el Frente de Izquierda",0.034,0.04,0.028,0.004,0.044,0.034,0.041,0.041,0.022,0.046,0.016,0.049,0.044,0.055,0.008,0.073
"No sabe",0.188,0.153,0.221,0.167,0.19,0.202,0.192,0.175,0.2,0.184,0.186,0.241,0.169,0.2,0.135,0.226
