"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.46,0.484,0.44,0.509,0.409,0.457,0.555,0.449,0.46,0.472,0.437,0.522,0.457,0.162,0.719,0.355
"Patricia Bullrich","Neutra",0.107,0.13,0.088,0.11,0.117,0.104,0.078,0.13,0.081,0.12,0.099,0.107,0.114,0.108,0.077,0.026
"Patricia Bullrich","Negativa",0.393,0.342,0.436,0.322,0.432,0.416,0.329,0.384,0.404,0.387,0.41,0.333,0.402,0.679,0.172,0.619
"Patricia Bullrich","No sabe",0.04,0.044,0.036,0.059,0.042,0.023,0.038,0.037,0.055,0.021,0.054,0.038,0.027,0.051,0.032,0
"Julio Zamora","Positiva",0.414,0.386,0.439,0.433,0.418,0.373,0.441,0.356,0.487,0.359,0.4,0.359,0.448,0.664,0.24,0.472
"Julio Zamora","Neutra",0.228,0.228,0.229,0.245,0.171,0.241,0.354,0.271,0.196,0.235,0.195,0.241,0.256,0.171,0.275,0.188
"Julio Zamora","Negativa",0.309,0.348,0.274,0.253,0.373,0.31,0.192,0.318,0.274,0.355,0.341,0.359,0.258,0.14,0.418,0.285
"Julio Zamora","No sabe",0.049,0.038,0.058,0.069,0.038,0.076,0.013,0.055,0.043,0.051,0.064,0.041,0.038,0.025,0.067,0.055
"Horacio Rodriguez Larreta","Positiva",0.352,0.368,0.339,0.333,0.317,0.343,0.486,0.401,0.33,0.333,0.373,0.282,0.359,0.131,0.566,0.371
"Horacio Rodriguez Larreta","Neutra",0.199,0.202,0.196,0.169,0.189,0.228,0.216,0.201,0.224,0.161,0.171,0.27,0.197,0.177,0.195,0.097
"Horacio Rodriguez Larreta","Negativa",0.416,0.399,0.43,0.483,0.457,0.398,0.253,0.357,0.408,0.488,0.421,0.423,0.409,0.65,0.211,0.532
"Horacio Rodriguez Larreta","No sabe",0.033,0.031,0.035,0.015,0.037,0.031,0.045,0.041,0.038,0.018,0.035,0.025,0.035,0.042,0.028,0
"Javier Milei","Positiva",0.333,0.426,0.255,0.544,0.316,0.278,0.233,0.343,0.323,0.338,0.296,0.391,0.346,0.177,0.405,0.449
"Javier Milei","Neutra",0.233,0.203,0.257,0.131,0.204,0.272,0.36,0.249,0.229,0.221,0.24,0.19,0.242,0.147,0.337,0.137
"Javier Milei","Negativa",0.389,0.344,0.428,0.325,0.437,0.387,0.335,0.343,0.4,0.421,0.393,0.392,0.384,0.648,0.198,0.414
"Javier Milei","No sabe",0.045,0.027,0.06,0,0.043,0.063,0.072,0.065,0.048,0.02,0.071,0.027,0.028,0.028,0.06,0
"Segundo Cernadas","Positiva",0.329,0.307,0.35,0.284,0.298,0.339,0.458,0.299,0.342,0.34,0.289,0.387,0.344,0.174,0.493,0.307
"Segundo Cernadas","Neutra",0.293,0.306,0.281,0.273,0.278,0.316,0.326,0.326,0.244,0.335,0.3,0.26,0.3,0.264,0.274,0.428
"Segundo Cernadas","Negativa",0.279,0.325,0.237,0.325,0.338,0.24,0.114,0.267,0.299,0.262,0.326,0.257,0.244,0.48,0.126,0.192
