"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno de Javier Milei",0.341,0.338,0.345,0.46,0.265,0.317,0.374,0.414,0.287,0.347,0.386,0.183,0.484,0.172,0.74,0.13,0.425,0.267
"El gobierno de Alberto Fernández",0.538,0.554,0.52,0.44,0.586,0.596,0.491,0.447,0.597,0.543,0.501,0.712,0.409,0.766,0.16,0.774,0.437,0.627
"Ambos",0.099,0.096,0.103,0.077,0.124,0.08,0.099,0.099,0.101,0.099,0.106,0.102,0.052,0.047,0.092,0.078,0.105,0.094
"No sabe",0.022,0.012,0.032,0.023,0.025,0.007,0.036,0.04,0.015,0.011,0.007,0.003,0.055,0.015,0.008,0.018,0.033,0.012
