"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Rolo Figueroa","Positiva",0.462,0.489,0.432,0.494,0.438,0.469,0.469,0.488,0.473,0.417,0.651,0.42,0.31,0.136,0.559,0.441,0.447,0.475
"Rolo Figueroa","Neutra",0.316,0.326,0.304,0.25,0.347,0.316,0.344,0.28,0.316,0.352,0.237,0.39,0.411,0.467,0.29,0.333,0.345,0.289
"Rolo Figueroa","Negativa",0.188,0.169,0.21,0.223,0.179,0.186,0.145,0.186,0.174,0.213,0.102,0.172,0.271,0.378,0.118,0.2,0.178,0.198
"Rolo Figueroa","No sabe",0.034,0.016,0.054,0.033,0.036,0.029,0.042,0.046,0.037,0.018,0.01,0.018,0.008,0.019,0.033,0.026,0.03,0.038
"Victoria Villarruel","Positiva",0.559,0.574,0.544,0.662,0.557,0.484,0.449,0.583,0.567,0.524,0.582,0.68,0.382,0.764,0.316,0.735,0.537,0.581
"Victoria Villarruel","Neutra",0.123,0.124,0.122,0.075,0.117,0.178,0.165,0.143,0.133,0.085,0.122,0.105,0.098,0.102,0.12,0.118,0.126,0.12
"Victoria Villarruel","Negativa",0.276,0.273,0.278,0.194,0.296,0.323,0.319,0.212,0.251,0.384,0.281,0.154,0.443,0.129,0.506,0.125,0.297,0.256
"Victoria Villarruel","No sabe",0.042,0.029,0.056,0.069,0.03,0.015,0.067,0.062,0.049,0.007,0.015,0.061,0.077,0.005,0.058,0.022,0.04,0.043
"Patricia Bullrich","Positiva",0.523,0.527,0.519,0.577,0.473,0.531,0.565,0.512,0.542,0.506,0.535,0.69,0.304,0.598,0.316,0.669,0.512,0.533
"Patricia Bullrich","Neutra",0.135,0.13,0.141,0.142,0.183,0.085,0.027,0.181,0.128,0.095,0.12,0.125,0.148,0.196,0.066,0.173,0.134,0.136
"Patricia Bullrich","Negativa",0.326,0.342,0.308,0.258,0.328,0.384,0.383,0.269,0.323,0.395,0.344,0.165,0.548,0.206,0.605,0.152,0.329,0.324
"Patricia Bullrich","No sabe",0.016,0.001,0.032,0.023,0.016,0,0.025,0.038,0.007,0.004,0.001,0.02,0,0,0.013,0.006,0.025,0.007
"Toto Caputo","Positiva",0.444,0.463,0.422,0.529,0.402,0.423,0.422,0.508,0.433,0.388,0.448,0.547,0.309,0.629,0.294,0.57,0.435,0.451
"Toto Caputo","Neutra",0.211,0.199,0.225,0.196,0.247,0.184,0.167,0.24,0.215,0.173,0.245,0.218,0.13,0.143,0.086,0.279,0.197,0.224
"Toto Caputo","Negativa",0.301,0.305,0.297,0.206,0.322,0.354,0.367,0.197,0.298,0.423,0.296,0.158,0.473,0.228,0.559,0.123,0.328,0.278
"Toto Caputo","No sabe",0.044,0.033,0.056,0.069,0.029,0.039,0.044,0.055,0.054,0.016,0.011,0.077,0.088,0,0.061,0.028,0.04,0.047
"Javier Milei","Positiva",0.475,0.525,0.42,0.524,0.458,0.44,0.466,0.482,0.48,0.454,0.533,0.561,0.209,0.5,0.319,0.63,0.453,0.492
"Javier Milei","Neutra",0.157,0.153,0.162,0.144,0.159,0.172,0.16,0.18,0.147,0.147,0.149,0.168,0.218,0.116,0.147,0.144,0.164,0.151
"Javier Milei","Negativa",0.336,0.299,0.376,0.32,0.34,0.349,0.343,0.289,0.341,0.386,0.306,0.235,0.564,0.384,0.494,0.21,0.352,0.323
"Javier Milei","No sabe",0.032,0.023,0.042,0.012,0.043,0.039,0.031,0.049,0.032,0.013,0.012,0.036,0.009,0,0.04,0.016,0.031,0.034
"Guillermo Francos","Positiva",0.378,0.389,0.367,0.5,0.307,0.354,0.39,0.42,0.376,0.337,0.394,0.517,0.195,0.595,0.286,0.463,0.364,0.391
"Guillermo Francos","Neutra",0.275,0.282,0.267,0.224,0.32,0.285,0.208,0.277,0.286,0.254,0.283,0.26,0.284,0.222,0.168,0.345,0.254,0.293
"Guillermo Francos","Negativa",0.272,0.268,0.276,0.203,0.29,0.304,0.318,0.202,0.264,0.361,0.267,0.144,0.423,0.16,0.445,0.136,0.29,0.256
"Guillermo Francos","No sabe",0.075,0.061,0.09,0.073,0.083,0.057,0.084,0.101,0.074,0.048,0.056,0.079,0.098,0.023,0.101,0.056,0.092,0.06
"Juan Schiaretti","Positiva",0.337,0.329,0.346,0.499,0.289,0.262,0.246,0.388,0.348,0.262,0.37,0.413,0.272,0.244,0.289,0.401,0.371,0.307
"Juan Schiaretti","Neutra",0.364,0.392,0.334,0.306,0.394,0.367,0.398,0.323,0.377,0.39,0.338,0.421,0.336,0.496,0.318,0.39,0.305,0.417
"Juan Schiaretti","Negativa",0.26,0.243,0.278,0.172,0.269,0.322,0.33,0.227,0.243,0.325,0.266,0.141,0.369,0.254,0.352,0.182,0.268,0.252
