"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"1-Excelente",0.233,0.225,0.242,0.387,0.202,0.115,0.158,0.351,0.197,0.152,0.276,0.216,0.234,0.195,0.302,0.217,0.278,0.193
"2",0.123,0.113,0.132,0.119,0.106,0.149,0.146,0.104,0.162,0.079,0.106,0.181,0.077,0.089,0.13,0.128,0.12,0.125
"3",0.06,0.061,0.06,0.053,0.038,0.12,0.056,0.026,0.086,0.058,0.076,0.03,0.053,0.03,0.05,0.073,0.056,0.064
"4",0.051,0.053,0.048,0.02,0.064,0.074,0.037,0.024,0.053,0.079,0.038,0.064,0.064,0.133,0.048,0.042,0.044,0.056
"5",0.16,0.184,0.136,0.1,0.189,0.151,0.235,0.099,0.174,0.211,0.176,0.155,0.256,0.041,0.162,0.173,0.137,0.181
"6",0.03,0.036,0.024,0,0.034,0.069,0.021,0.023,0.023,0.05,0.036,0.011,0.035,0.029,0.028,0.031,0.034,0.027
"7",0.034,0.05,0.017,0.036,0.026,0.042,0.046,0.02,0.03,0.057,0.033,0.024,0.046,0.033,0.056,0.02,0.04,0.029
"8",0.028,0.026,0.03,0.027,0.022,0.023,0.064,0.03,0.027,0.028,0.033,0.018,0.011,0.016,0.015,0.024,0.03,0.027
"9-Pésimo",0.187,0.175,0.2,0.14,0.236,0.175,0.147,0.188,0.161,0.229,0.171,0.191,0.129,0.251,0.149,0.192,0.167,0.205
"No sabe",0.094,0.077,0.111,0.118,0.083,0.082,0.09,0.135,0.087,0.057,0.055,0.11,0.095,0.183,0.06,0.1,0.094,0.093
