"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P08","Empleado sector publico",0.5,0.247,0.261,0.208,0.24,0.148,0.259,0.476,0.196,0.212
"P08","Empleado sector privado",0.193,0.33,0.332,0.339,0.354,0.297,0.376,0.208,0.252,0.192
"P08","Changas o trabajos eventuales",0.194,0.279,0.219,0.107,0.101,0.192,0.149,0.163,0.265,0.328
"P08","Estudiante",0.009,0,0,0.009,0.07,0.14,0,0,0.068,0.013
"P08","Amas de casa",0.039,0.07,0.061,0.061,0.071,0.066,0.01,0.052,0.049,0.048
"P08","Profesional o independiente",0.015,0.02,0.059,0.171,0.046,0.067,0.062,0.026,0.065,0.029
"P08","Comerciante, emprendedor o empresario",0.034,0.008,0.019,0.082,0.046,0.016,0.04,0.024,0.05,0.127
"P08","Trabajador informal",0,0.025,0.022,0,0.006,0.022,0,0.015,0.001,0
"P08","No tengo trabajo",0.016,0.021,0.027,0.023,0.066,0.052,0.104,0.036,0.054,0.051
"P09","Siempre",0.538,0.222,0.184,0.122,0.138,0.309,0.146,0.123,0.151,0.255
"P09","Casi siempre",0.261,0.46,0.508,0.378,0.442,0.273,0.265,0.389,0.261,0.327
"P09","Casi nunca",0.135,0.222,0.219,0.316,0.316,0.36,0.565,0.333,0.421,0.233
"P09","Nunca, pero esta es una excepción",0.066,0.096,0.089,0.184,0.104,0.058,0.024,0.155,0.167,0.185
"P10","Muy buena",0.436,0.152,0.145,0.138,0.198,0.124,0.091,0.135,0.103,0.202
"P10","Buena",0.079,0.396,0.281,0.189,0.321,0.215,0.271,0.117,0.072,0.147
"P10","Ni buena ni mala",0.3,0.239,0.464,0.347,0.379,0.442,0.499,0.518,0.333,0.316
"P10","Mala",0.074,0.163,0.105,0.157,0.09,0.136,0.139,0.162,0.26,0.121
"P10","Muy mala",0.094,0.039,0.004,0.049,0.005,0.01,0,0.068,0.218,0.059
"P10","No sabe",0.017,0.011,0.001,0.12,0.007,0.073,0,0,0.014,0.155
"P11","Muy buena",0.456,0.192,0.258,0.139,0.24,0.184,0.074,0.153,0.046,0.165
"P11","Buena",0.138,0.422,0.224,0.276,0.418,0.243,0.435,0.164,0.13,0.219
"P11","Ni buena ni mala",0.183,0.241,0.378,0.309,0.304,0.303,0.335,0.46,0.287,0.307
"P11","Mala",0.072,0.045,0.08,0.181,0.031,0.17,0.156,0.166,0.345,0.139
"P11","Muy mala",0.11,0.068,0.055,0.004,0.007,0.027,0,0.057,0.166,0.048
"P11","No sabe",0.041,0.032,0.005,0.091,0,0.073,0,0,0.026,0.122
"P13","Muy buena",0.486,0.138,0.239,0.16,0.252,0.112,0.07,0.204,0.072,0.085
"P13","Buena",0.108,0.5,0.213,0.244,0.377,0.292,0.367,0.146,0.103,0.185
"P13","Ni buena ni mala",0.151,0.194,0.433,0.333,0.246,0.36,0.445,0.346,0.362,0.417
"P13","Mala",0.179,0.105,0.103,0.106,0.115,0.138,0.095,0.191,0.201,0.149
"P13","Muy mala",0.066,0.052,0.012,0.075,0.005,0.01,0.023,0.113,0.243,0.042
"P13","No sabe",0.01,0.011,0,0.082,0.005,0.088,0,0,0.019,0.122
"P14","Muy buena",0.435,0.104,0.048,0.023,0.09,0.11,0.11,0.062,0.051,0.097
"P14","Buena",0.107,0.381,0.052,0.207,0.195,0.171,0.18,0.143,0.073,0.092
"P14","Ni buena ni mala",0.153,0.241,0.387,0.274,0.319,0.192,0.26,0.348,0.225,0.222
"P14","Mala",0.155,0.147,0.403,0.38,0.295,0.206,0.193,0.293,0.333,0.276
"P14","Muy mala",0.132,0.098,0.11,0.116,0.095,0.102,0.257,0.154,0.303,0.118
"P14","No sabe",0.018,0.029,0,0,0.006,0.219,0,0,0.015,0.195
"P15","Muy buena",0.434,0.11,0.047,0.046,0.151,0.082,0.109,0.106,0.039,0.1
"P15","Buena",0.047,0.321,0.076,0.164,0.193,0.125,0.192,0.166,0.094,0.191
"P15","Ni buena ni mala",0.2,0.272,0.618,0.442,0.364,0.338,0.379,0.392,0.25,0.298
"P15","Mala",0.147,0.126,0.119,0.215,0.193,0.199,0.228,0.183,0.273,0.155
"P15","Muy mala",0.128,0.125,0.113,0.06,0.076,0.11,0.081,0.153,0.314,0.113
"P15","No sabe",0.044,0.046,0.027,0.073,0.023,0.146,0.011,0,0.03,0.143
"P16","Muy buena",0.447,0.164,0.09,0.114,0.164,0.136,0.101,0.076,0.119,0.128
"P16","Buena",0.064,0.329,0.264,0.196,0.227,0.1,0.162,0.235,0.131,0.156
"P16","Ni buena ni mala",0.165,0.282,0.366,0.202,0.297,0.213,0.351,0.253,0.178,0.22
"P16","Mala",0.179,0.124,0.158,0.231,0.241,0.226,0.152,0.288,0.223,0.161
"P16","Muy mala",0.102,0.089,0.092,0.145,0.056,0.103,0.23,0.139,0.335,0.128
"P16","No sabe",0.043,0.012,0.03,0.112,0.015,0.222,0.004,0.009,0.014,0.207
"P17","Muy buena",0.436,0.168,0.056,0.083,0.127,0.048,0.103,0.051,0.094,0.114
"P17","Buena",0.055,0.283,0.125,0.166,0.269,0.317,0.304,0.238,0.137,0.096
"P17","Ni buena ni mala",0.154,0.171,0.18,0.227,0.239,0.176,0.147,0.174,0.158,0.131
"P17","Mala",0.158,0.184,0.324,0.128,0.186,0.132,0.148,0.212,0.161,0.275
"P17","Muy mala",0.154,0.19,0.258,0.318,0.168,0.324,0.294,0.325,0.45,0.272
