"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"De acuerdo",0.543,0.579,0.505,0.571,0.546,0.543,0.454,0.54,0.546,0.542,0.586,0.532,0.454,0.613,0.401,0.662,0.549,0.538
"Ni de acuerdo ni en desacuerdo",0.191,0.182,0.2,0.219,0.187,0.184,0.138,0.182,0.209,0.168,0.169,0.278,0.164,0.086,0.221,0.179,0.174,0.205
"En desacuerdo",0.192,0.173,0.212,0.143,0.2,0.204,0.272,0.167,0.182,0.24,0.188,0.107,0.319,0.202,0.272,0.11,0.204,0.181
"No sabe",0.074,0.066,0.083,0.067,0.067,0.069,0.136,0.111,0.063,0.05,0.057,0.083,0.063,0.099,0.106,0.049,0.073,0.076
