"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.257,0.253,0.26,0.277,0.27,0.237,0.187,0.267,0.238,0.277,0.32,0.192,0.177,0.346,0.175,0.314,0.237,0.273
"Investigaciones científicas no declaradas con fines secretos",0.264,0.237,0.292,0.319,0.242,0.216,0.297,0.198,0.332,0.224,0.251,0.402,0.218,0.17,0.22,0.292,0.173,0.34
"Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.153,0.197,0.108,0.163,0.156,0.139,0.145,0.188,0.119,0.172,0.139,0.168,0.177,0.203,0.104,0.172,0.183,0.128
"Otro",0.106,0.107,0.105,0.098,0.113,0.104,0.104,0.115,0.098,0.109,0.096,0.087,0.154,0.07,0.156,0.069,0.145,0.074
"No sabe",0.22,0.206,0.235,0.143,0.219,0.304,0.267,0.232,0.213,0.218,0.194,0.151,0.274,0.211,0.345,0.153,0.262,0.185
