"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno anterior de Omar Gutierrez",0.424,0.439,0.407,0.516,0.401,0.406,0.342,0.472,0.39,0.43,0.494,0.309,0.355,0.626,0.301,0.474,0.416,0.432
"El actual gobierno de Rolo Figueroa",0.246,0.197,0.301,0.251,0.211,0.285,0.29,0.236,0.287,0.193,0.216,0.386,0.264,0.068,0.255,0.249,0.235,0.255
"No sabe",0.33,0.364,0.292,0.233,0.388,0.309,0.368,0.292,0.323,0.377,0.29,0.305,0.381,0.306,0.444,0.277,0.349,0.313
