"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Si",0.798,0.854,0.741,0.781,0.789,0.875,0.74,0.674,0.809,0.934,0.826,0.729,0.888,0.862,0.794,0.816,0.796,0.8
"No",0.202,0.146,0.259,0.219,0.211,0.125,0.26,0.326,0.191,0.066,0.174,0.271,0.112,0.138,0.206,0.184,0.204,0.2
