"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Javier Milei",0.513,0.551,0.471,0.522,0.551,0.484,0.395,0.61,0.493,0.436,0.534,0.443,0.426,0.731,0.344,0.643,0.497,0.526
"Los gobernadores",0.389,0.397,0.38,0.346,0.356,0.471,0.474,0.281,0.413,0.472,0.399,0.427,0.501,0.204,0.575,0.268,0.396,0.383
"No sabe",0.098,0.052,0.149,0.132,0.093,0.045,0.131,0.109,0.094,0.092,0.067,0.13,0.073,0.065,0.081,0.089,0.107,0.091
