"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA"
"Julio Alak a intendente por Unión por la Patria",0.293,0.288,0.298,0.316,0.313,0.288,0.219,0.239,0.278,0.332,0.13,0.614,0.251,0.129,0.078,0.255,0.233,0.18,0.302
"Guillermo Escudero a intendente por Unión por la Patria",0.039,0.047,0.032,0.046,0.044,0.033,0.025,0.066,0.041,0.025,0.02,0.039,0.091,0.047,0.058,0.112,0.036,0.015,0.024
"Gaston Castagneto a intendente por Unión por la Patria",0.038,0.036,0.04,0.036,0.05,0.023,0.033,0.058,0.044,0.024,0.023,0.067,0.019,0,0,0.036,0.021,0.048,0.065
"Juan Pablo Allan a intendente por Juntos por el Cambio",0.141,0.135,0.147,0.077,0.116,0.188,0.24,0.142,0.122,0.156,0.23,0.052,0.147,0.199,0.302,0.065,0.047,0.089,0.044
"Julio Garro a intendente por Juntos por el Cambio",0.187,0.165,0.206,0.119,0.175,0.233,0.264,0.159,0.219,0.175,0.356,0.037,0.128,0.03,0,0.04,0.136,0.103,0.124
"Luciano Guma a intendente por la Libertad Avanza",0.11,0.146,0.078,0.188,0.101,0.077,0.049,0.16,0.08,0.11,0.115,0.041,0.267,0.101,0.302,0.19,0.057,0.206,0.087
"A los candidatos a intendente del Frente de Izquierda",0.043,0.046,0.039,0.046,0.058,0.02,0.03,0.043,0.055,0.032,0.026,0.024,0.019,0.446,0,0.024,0.102,0.092,0.032
"Otro",0.043,0.054,0.033,0.042,0.04,0.052,0.039,0.031,0.039,0.051,0.021,0.029,0.025,0.036,0.157,0.163,0.02,0.007,0.101
"En blanco",0.02,0.016,0.023,0.015,0.021,0.019,0.027,0.024,0.011,0.025,0.006,0.053,0.011,0,0,0.013,0.026,0.008,0
"No sabe",0.086,0.067,0.104,0.115,0.082,0.067,0.074,0.078,0.111,0.07,0.073,0.044,0.042,0.012,0.103,0.102,0.322,0.252,0.221
