"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P05","Mucho",0.709,0.468,0.413,0.268
"P05","Bastante",0.163,0.373,0.268,0.157
"P05","Poco",0.064,0.123,0.195,0.168
"P05","Nada",0.037,0.015,0.096,0.336
"P05","No sabe",0.027,0.021,0.028,0.071
"P08","Unión por la Patria",0.418,0.421,0.378,0.195
"P08","Juntos por el Cambio",0.325,0.337,0.246,0.215
"P08","De los Liberales libertarios",0.1,0.067,0.164,0.182
"P08","De la Izquierda",0.049,0.042,0.038,0.049
"P08","Hacemos por nuestro país",0.016,0.011,0.006,0.004
"P08","Otro",0.025,0.031,0.05,0.047
"P08","En blanco",0.024,0.024,0.018,0.106
"P08","No sabe",0.043,0.067,0.1,0.202
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Alak a intendente por Unión por la Patria",0.289,0.287,0.269,0.202
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Guillermo Escudero a intendente por Unión por la Patria",0.056,0.053,0.054,0.031
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Gaston Castagneto a intendente por Unión por la Patria",0.028,0.033,0.045,0.033
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.058,0.085,0.079,0.023
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Juan Pablo Allan a intendente por Juntos por el Cambio",0.198,0.205,0.142,0.17
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Julio Garro a intendente por Juntos por el Cambio",0.141,0.139,0.115,0.086
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora y Luciano Guma a intendente por la Libertad Avanza",0.151,0.083,0.174,0.146
"P09","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.023,0.031,0.042,0.064
"P09","Otro",0.028,0.021,0.026,0.068
"P09","No sabe",0.028,0.063,0.054,0.177
"P12","Si",0.53,0.521,0.467,0.522
"P12","No",0.47,0.479,0.533,0.478
"P13","Julio Alak a intendente por Unión por la Patria",0.241,0.197,0.188,0.139
"P13","Guillermo Escudero a intendente por Unión por la Patria",0.028,0.03,0.042,0.034
"P13","Gaston Castagneto a intendente por Unión por la Patria",0.015,0.04,0.064,0.024
"P13","Juan Pablo Allan a intendente por Juntos por el Cambio",0.195,0.128,0.116,0.031
"P13","Julio Garro a intendente por Juntos por el Cambio",0.226,0.3,0.241,0.267
"P13","Luciano Guma a intendente por la Libertad Avanza",0.151,0.074,0.103,0.174
"P13","A los candidatos a intendente del Frente de Izquierda",0.013,0.053,0.068,0.037
"P13","Otro",0.065,0.056,0.05,0.105
"P13","No sabe",0.066,0.122,0.128,0.189
"P16","Ninguno",0.545,0.258,0.407,0
"P16","Julio Alak a intendente por Unión por la Patria",0.073,0.322,0.149,0
"P16","Guillermo Escudero a intendente por Unión por la Patria",0.012,0.014,0.013,0
"P16","Gaston Castagneto a intendente por Unión por la Patria",0.1,0.028,0.029,1
"P16","Juan Pablo Allan a intendente por Juntos por el Cambio",0,0.058,0.203,0
"P16","Julio Garro a intendente por Juntos por el Cambio",0,0.125,0,0
"P16","Luciano Guma a intendente por la Libertad Avanza",0.01,0.014,0.096,0
"P16","A los candidatos a intendente del Frente de Izquierda",0.022,0.041,0,0
"P16","Otro",0.022,0.033,0.05,0
"P16","No sabe",0.216,0.107,0.053,0
"P19","Lo votaría",0.296,0.338,0.325,0.148
"P19","Puede que lo vote",0.165,0.148,0.123,0.158
"P19","Nunca lo votaría",0.475,0.463,0.457,0.542
"P19","No sabe",0.064,0.051,0.095,0.152
"P20","Lo votaría",0.16,0.139,0.132,0.076
"P20","Puede que lo vote",0.151,0.152,0.164,0.126
"P20","Nunca lo votaría",0.611,0.612,0.584,0.63
"P20","No sabe",0.078,0.097,0.12,0.168
"P21","Lo votaría",0.124,0.114,0.089,0.089
"P21","Puede que lo vote",0.161,0.193,0.188,0.104
"P21","Nunca lo votaría",0.659,0.6,0.621,0.628
"P21","No sabe",0.056,0.093,0.102,0.179
"P22","Lo votaría",0.198,0.246,0.19,0.073
"P22","Puede que lo vote",0.115,0.13,0.139,0.165
"P22","Nunca lo votaría",0.641,0.565,0.598,0.659
"P22","No sabe",0.046,0.059,0.073,0.103
"P23","Lo votaría",0.25,0.245,0.165,0.168
"P23","Puede que lo vote",0.172,0.139,0.168,0.131
"P23","Nunca lo votaría",0.553,0.558,0.583,0.609
"P23","No sabe",0.025,0.058,0.084,0.092
"P24","Lo votaría",0.22,0.189,0.112,0.116
"P24","Puede que lo vote",0.207,0.197,0.178,0.164
"P24","Nunca lo votaría",0.544,0.56,0.644,0.641
"P24","No sabe",0.029,0.054,0.066,0.079
"P25","Lo votaría",0.153,0.094,0.137,0.192
"P25","Puede que lo vote",0.106,0.104,0.154,0.121
"P25","Nunca lo votaría",0.703,0.767,0.667,0.633
"P25","No sabe",0.038,0.035,0.042,0.054
"P26","Si",0.622,0.498,0.293,0.185
"P26","No",0.378,0.502,0.707,0.815
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.374,0.373,0.368,0.267
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.058,0.085,0.079,0.023
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.198,0.205,0.142,0.17
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.141,0.139,0.115,0.085
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.15,0.083,0.174,0.146
"PRESIDENTE","A los candidatos a presidente, a gobernador del Frente de Izquierda",0.023,0.031,0.042,0.064
"PRESIDENTE","Otro",0.028,0.021,0.026,0.068
"PRESIDENTE","No sabe",0.028,0.063,0.054,0.177
"INTENDENTE","Julio Alak a intendente por Unión por la Patria",0.313,0.31,0.294,0.204
"INTENDENTE","Guillermo Escudero a intendente por Unión por la Patria",0.04,0.041,0.039,0.034
"INTENDENTE","Gaston Castagneto a intendente por Unión por la Patria",0.034,0.038,0.041,0.041
"INTENDENTE","Juan Pablo Allan a intendente por Juntos por el Cambio",0.174,0.144,0.13,0.097
"INTENDENTE","Julio Garro a intendente por Juntos por el Cambio",0.168,0.23,0.16,0.171
"INTENDENTE","Luciano Guma a intendente por la Libertad Avanza",0.12,0.066,0.137,0.144
"INTENDENTE","A los candidatos a intendente del Frente de Izquierda",0.026,0.036,0.053,0.065
"INTENDENTE","Otro",0.044,0.036,0.036,0.075
"INTENDENTE","En blanco",0.02,0.019,0.03,0
"INTENDENTE","No sabe",0.061,0.08,0.08,0.169
