"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Alak a intendente por Unión por la Patria",0.271,0.255,0.285,0.269,0.296,0.271,0.213,0.226,0.24,0.321,0.112,0.61,0.158,0.243,0.158,0.224,0.18,0.096,0.203
"Sergio Massa a presidente, Axel Kicillof a gobernador y Guillermo Escudero a intendente por Unión por la Patria",0.051,0.06,0.044,0.045,0.062,0.058,0.028,0.075,0.065,0.027,0.042,0.035,0.117,0.028,0,0.134,0.04,0.013,0.064
"Sergio Massa a presidente, Axel Kicillof a gobernador y Gaston Castagneto a intendente por Unión por la Patria",0.035,0.035,0.036,0.045,0.042,0.02,0.023,0.057,0.043,0.018,0.032,0.045,0.066,0,0,0.021,0.042,0.055,0.028
"Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.069,0.05,0.086,0.052,0.086,0.065,0.065,0.045,0.056,0.092,0.013,0.167,0.069,0.084,0.101,0.09,0.067,0.007,0
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Juan Pablo Allan a intendente por Juntos por el Cambio",0.18,0.19,0.171,0.126,0.134,0.24,0.311,0.167,0.167,0.197,0.331,0.036,0.1,0.113,0.266,0.082,0.031,0.172,0.064
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Julio Garro a intendente por Juntos por el Cambio",0.125,0.101,0.146,0.098,0.113,0.14,0.183,0.105,0.148,0.115,0.234,0.023,0.155,0.041,0,0.049,0.036,0.033,0.084
"Javier Milei a presidente, Carolina Piparo a gobernadora y Luciano Guma a intendente por la Libertad Avanza",0.135,0.181,0.093,0.209,0.128,0.094,0.066,0.188,0.111,0.127,0.156,0.043,0.246,0.077,0.339,0.189,0.205,0.23,0.132
"A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.037,0.039,0.035,0.041,0.045,0.023,0.028,0.051,0.039,0.028,0.022,0.013,0.057,0.291,0,0.025,0.042,0.127,0.051
"Otro",0.03,0.039,0.022,0.03,0.036,0.029,0.019,0.02,0.034,0.033,0.017,0.021,0.014,0.032,0.031,0.098,0.024,0.006,0.094
"No sabe",0.067,0.05,0.082,0.085,0.058,0.06,0.064,0.066,0.097,0.042,0.041,0.007,0.018,0.091,0.105,0.088,0.333,0.261,0.28
