"var","categoria","Si","No"
"P05","Mucho",0.554,0.503
"P05","Bastante",0.302,0.271
"P05","Poco",0.097,0.131
"P05","Nada",0.031,0.08
"P05","No sabe",0.016,0.015
"P06","Siempre",0.324,0.15
"P06","Casi siempre",0.432,0.332
"P06","Casi nunca",0.198,0.363
"P06","Nunca, pero esta es una excepción",0.046,0.155
"P08","Unión por la Patria",0.403,0.386
"P08","Juntos por el Cambio",0.347,0.277
"P08","De los Liberales libertarios",0.137,0.153
"P08","De la Izquierda",0.033,0.046
"P08","Hacemos por nuestro país",0.006,0.004
"P08","Otro",0.013,0.028
"P08","En blanco",0.016,0.029
"P08","No sabe",0.045,0.077
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Alak a intendente por Unión por la Patria",0.249,0.265
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Guillermo Escudero a intendente por Unión por la Patria",0.06,0.044
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Gaston Castagneto a intendente por Unión por la Patria",0.051,0.016
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.076,0.066
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Juan Pablo Allan a intendente por Juntos por el Cambio",0.202,0.186
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Julio Garro a intendente por Juntos por el Cambio",0.154,0.118
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora y Luciano Guma a intendente por la Libertad Avanza",0.156,0.152
"P09","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.042
"P09","Otro",0.01,0.038
"P09","No sabe",0.02,0.073
"P12","Si",0.542,0.5
"P12","No",0.458,0.5
"P13","Julio Alak a intendente por Unión por la Patria",0.179,0.216
"P13","Guillermo Escudero a intendente por Unión por la Patria",0.017,0.037
"P13","Gaston Castagneto a intendente por Unión por la Patria",0.02,0.047
"P13","Juan Pablo Allan a intendente por Juntos por el Cambio",0.187,0.085
"P13","Julio Garro a intendente por Juntos por el Cambio",0.318,0.232
"P13","Luciano Guma a intendente por la Libertad Avanza",0.118,0.11
"P13","A los candidatos a intendente del Frente de Izquierda",0.044,0.055
"P13","Otro",0.049,0.058
"P13","No sabe",0.068,0.16
"P16","Ninguno",0.4,0.451
"P16","Julio Alak a intendente por Unión por la Patria",0.227,0.074
"P16","Guillermo Escudero a intendente por Unión por la Patria",0.01,0.02
"P16","Gaston Castagneto a intendente por Unión por la Patria",0.064,0.042
"P16","Juan Pablo Allan a intendente por Juntos por el Cambio",0.034,0.059
"P16","Julio Garro a intendente por Juntos por el Cambio",0.027,0.061
"P16","Luciano Guma a intendente por la Libertad Avanza",0,0.125
"P16","A los candidatos a intendente del Frente de Izquierda",0.033,0.013
"P16","Otro",0.029,0.06
"P16","No sabe",0.176,0.095
"P19","Lo votaría",0.295,0.291
"P19","Puede que lo vote",0.136,0.14
"P19","Nunca lo votaría",0.518,0.492
"P19","No sabe",0.051,0.077
"P20","Lo votaría",0.148,0.104
"P20","Puede que lo vote",0.151,0.157
"P20","Nunca lo votaría",0.636,0.618
"P20","No sabe",0.065,0.121
"P21","Lo votaría",0.117,0.083
"P21","Puede que lo vote",0.175,0.183
"P21","Nunca lo votaría",0.664,0.619
"P21","No sabe",0.044,0.115
"P22","Lo votaría",0.196,0.193
"P22","Puede que lo vote",0.112,0.144
"P22","Nunca lo votaría",0.646,0.581
"P22","No sabe",0.046,0.082
"P23","Lo votaría",0.212,0.208
"P23","Puede que lo vote",0.152,0.163
"P23","Nunca lo votaría",0.584,0.562
"P23","No sabe",0.052,0.067
"P24","Lo votaría",0.205,0.133
"P24","Puede que lo vote",0.184,0.208
"P24","Nunca lo votaría",0.559,0.602
"P24","No sabe",0.052,0.057
"P25","Lo votaría",0.139,0.134
"P25","Puede que lo vote",0.115,0.126
"P25","Nunca lo votaría",0.707,0.696
"P25","No sabe",0.039,0.044
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.36,0.325
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.076,0.066
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.202,0.186
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.154,0.118
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.156,0.152
"PRESIDENTE","A los candidatos a presidente, a gobernador del Frente de Izquierda",0.022,0.042
"PRESIDENTE","Otro",0.01,0.038
"PRESIDENTE","No sabe",0.02,0.073
"INTENDENTE","Julio Alak a intendente por Unión por la Patria",0.271,0.298
"INTENDENTE","Guillermo Escudero a intendente por Unión por la Patria",0.034,0.042
"INTENDENTE","Gaston Castagneto a intendente por Unión por la Patria",0.034,0.035
"INTENDENTE","Juan Pablo Allan a intendente por Juntos por el Cambio",0.177,0.114
"INTENDENTE","Julio Garro a intendente por Juntos por el Cambio",0.24,0.163
"INTENDENTE","Luciano Guma a intendente por la Libertad Avanza",0.109,0.129
"INTENDENTE","A los candidatos a intendente del Frente de Izquierda",0.036,0.042
"INTENDENTE","Otro",0.03,0.046
"INTENDENTE","En blanco",0.022,0.027
"INTENDENTE","No sabe",0.047,0.104
