"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Garro","Saintout","Crespi","Simioni","Peña","NA","NA","NA","NA","NA"
"Siempre",0.226,0.263,0.193,0.227,0.199,0.246,0.265,0.265,0.223,0.208,0.157,0.264,0.211,0.186,0.242,0.69,0.213,0.176,0.185,0.146
"Casi siempre",0.313,0.262,0.359,0.217,0.331,0.385,0.356,0.265,0.279,0.368,0.164,0.355,0.446,0.048,0.34,0.078,0.204,0.142,0.142,0.241
"Casi nunca",0.309,0.302,0.315,0.32,0.336,0.285,0.253,0.281,0.338,0.298,0.3,0.264,0.291,0.758,0.167,0.072,0.42,0.375,0.311,0.269
"Nunca, pero esta es una excepción",0.152,0.173,0.133,0.236,0.134,0.084,0.126,0.189,0.16,0.126,0.379,0.117,0.052,0.008,0.251,0.16,0.163,0.307,0.362,0.344
