"var","categoria","Julio Alak a intendente por Unión por la Patria","Guillermo Escudero a intendente por Unión por la Patria","Gaston Castagneto a intendente por Unión por la Patria","Juan Pablo Allan a intendente por Juntos por el Cambio","Julio Garro a intendente por Juntos por el Cambio","Luciano Guma a intendente por la Libertad Avanza","A los candidatos a intendente del Frente de Izquierda","Otro","No sabe"
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Guillermo Escudero a intendente por Unión por la Patria",0.076,0.186,0.013,0.072,0.032,0.017,0,0.095,0.028
"P09","Sergio Massa a presidente, Axel Kicillof a gobernador y Gaston Castagneto a intendente por Unión por la Patria",0.01,0,0.316,0.013,0.033,0.102,0,0,0.039
"P09","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P09","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Juan Pablo Allan a intendente por Juntos por el Cambio",0.127,0.075,0.149,0.4,0.356,0.062,0.13,0.182,0.208
"P09","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Julio Garro a intendente por Juntos por el Cambio",0.089,0.059,0.014,0.211,0.247,0.074,0.011,0.047,0.13
"P09","Javier Milei a presidente, Carolina Piparo a gobernadora y Luciano Guma a intendente por la Libertad Avanza",0.077,0.281,0.218,0.074,0.212,0.58,0.053,0.095,0.087
"P09","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.018,0.022,0.073,0.014,0.021,0.004,0.455,0,0.023
"P09","Otro",0.033,0,0,0.016,0.014,0.016,0.089,0.25,0.086
"P09","No sabe",0.072,0.087,0,0.02,0.038,0.055,0.068,0.055,0.333
"P19","Lo votaría",0.537,0.268,0.397,0.151,0.026,0.177,0.152,0.062,0.017
"P19","Puede que lo vote",0.129,0.384,0.107,0.024,0.085,0.185,0.194,0.159,0.147
"P19","Nunca lo votaría",0.257,0.297,0.186,0.71,0.82,0.633,0.435,0.571,0.672
"P19","No sabe",0.077,0.051,0.31,0.115,0.069,0.005,0.219,0.208,0.164
"P20","Lo votaría",0.23,0.714,0.168,0.107,0.036,0.068,0.076,0.052,0.007
"P20","Puede que lo vote",0.207,0.054,0.187,0.035,0.095,0.161,0.132,0.117,0.136
"P20","Nunca lo votaría",0.416,0.194,0.21,0.798,0.854,0.694,0.535,0.636,0.672
"P20","No sabe",0.147,0.038,0.435,0.06,0.015,0.077,0.257,0.195,0.185
"P21","Lo votaría",0.12,0.155,0.619,0.084,0.012,0.106,0.074,0.058,0.013
"P21","Puede que lo vote",0.207,0.161,0.072,0.062,0.082,0.126,0.202,0.166,0.15
"P21","Nunca lo votaría",0.586,0.38,0.144,0.809,0.862,0.744,0.489,0.608,0.644
"P21","No sabe",0.087,0.304,0.165,0.045,0.044,0.024,0.235,0.168,0.193
"P22","Lo votaría",0.244,0.33,0.444,0.142,0.013,0.125,0.209,0.135,0.007
"P22","Puede que lo vote",0.181,0.291,0.192,0.035,0.039,0.067,0.136,0.088,0.083
"P22","Nunca lo votaría",0.472,0.35,0.108,0.776,0.929,0.789,0.458,0.72,0.74
"P22","No sabe",0.103,0.029,0.256,0.047,0.019,0.019,0.197,0.057,0.17
"P23","Lo votaría",0.092,0,0.107,0.407,0.354,0.301,0,0.057,0.234
