"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Alak a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Guillermo Escudero a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gaston Castagneto a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Juan Pablo Allan a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Julio Garro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Luciano Guma a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Otro","No sabe"
"P05","Mucho",0.619,0.507,0.384,0.659,0.454,0.502,0.462,0.452,0.379,0.237
"P05","Bastante",0.253,0.225,0.258,0.216,0.32,0.318,0.284,0.134,0.319,0.249
"P05","Poco",0.097,0.229,0.244,0.028,0.112,0.129,0.133,0.24,0.158,0.148
"P05","Nada",0.024,0.033,0.015,0.024,0.065,0.045,0.108,0.174,0.136,0.282
"P05","No sabe",0.007,0.006,0.099,0.073,0.049,0.006,0.013,0,0.008,0.084
"P06","Siempre",0.247,0.254,0.184,0.196,0.255,0.261,0.258,0.142,0.217,0.095
"P06","Casi siempre",0.352,0.342,0.309,0.408,0.38,0.37,0.205,0.282,0.228,0.311
"P06","Casi nunca",0.303,0.324,0.386,0.352,0.241,0.28,0.395,0.35,0.262,0.248
"P06","Nunca, pero esta es una excepción",0.098,0.08,0.121,0.044,0.124,0.089,0.142,0.226,0.293,0.346
"P08","Unión por la Patria",0.837,0.286,0.589,0.777,0.161,0.098,0.142,0.056,0.045,0.11
"P08","Juntos por el Cambio",0.092,0.221,0.106,0.033,0.709,0.806,0.057,0.015,0.135,0.136
"P08","De los Liberales libertarios",0.004,0.245,0.163,0.022,0.045,0,0.694,0.014,0.104,0.027
"P08","De la Izquierda",0.014,0.011,0.086,0.069,0.013,0.005,0.02,0.652,0.031,0.016
"P08","Hacemos por nuestro país",0.006,0.008,0,0.047,0.004,0.002,0.033,0,0.009,0
