"var","categoria","Julio Alak a intendente por Unión por la Patria","Guillermo Escudero a intendente por Unión por la Patria","Gaston Castagneto a intendente por Unión por la Patria","Juan Pablo Allan a intendente por Juntos por el Cambio","Julio Garro a intendente por Juntos por el Cambio","Luciano Guma a intendente por la Libertad Avanza","A los candidatos a intendente del Frente de Izquierda","Otro","En blanco","No sabe"
"P05","Mucho",0.66,0.381,0.447,0.448,0.454,0.531,0.434,0.468,0.644,0.301
"P05","Bastante",0.237,0.25,0.234,0.33,0.331,0.23,0.171,0.307,0.237,0.319
"P05","Poco",0.068,0.299,0.297,0.123,0.133,0.118,0.224,0.144,0.063,0.133
"P05","Nada",0.029,0.052,0.022,0.046,0.049,0.104,0.171,0.081,0.056,0.192
"P05","No sabe",0.006,0.018,0,0.053,0.033,0.017,0,0,0,0.055
"P06","Siempre",0.253,0.244,0.207,0.293,0.213,0.259,0.143,0.245,0.239,0.168
"P06","Casi siempre",0.355,0.347,0.333,0.343,0.413,0.202,0.285,0.282,0.312,0.309
"P06","Casi nunca",0.307,0.302,0.331,0.281,0.262,0.38,0.384,0.259,0.449,0.284
"P06","Nunca, pero esta es una excepción",0.085,0.107,0.129,0.083,0.112,0.159,0.188,0.214,0,0.239
"P08","Unión por la Patria",0.809,0.368,0.677,0.171,0.126,0.187,0.125,0.249,0.869,0.13
"P08","Juntos por el Cambio",0.099,0.123,0.092,0.695,0.658,0.071,0.09,0.109,0.031,0.273
"P08","De los Liberales libertarios",0.02,0.253,0.129,0.062,0.11,0.57,0.02,0.168,0.04,0.068
"P08","De la Izquierda",0.009,0.035,0,0.023,0.017,0.045,0.597,0.037,0.031,0.004
"P08","Hacemos por nuestro país",0.006,0,0.016,0,0.001,0.042,0,0.017,0,0
"P08","Otro",0.023,0.148,0,0.016,0.011,0.035,0.007,0.197,0,0.032
"P08","En blanco",0.005,0.007,0,0.011,0.021,0.018,0.044,0.082,0.016,0.121
"P08","No sabe",0.029,0.066,0.086,0.022,0.056,0.032,0.117,0.141,0.013,0.372
"P19","Lo votaría",0.735,0.219,0.353,0.111,0.035,0.141,0.164,0.063,0.561,0.051
