"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Toloza Paz",0.303,0.292,0.313,0.25,0.294,0.373,0.318,0.337,0.275,0.309,0.536,0.062,0.118
"Diego Santilli",0.271,0.293,0.252,0.246,0.251,0.294,0.336,0.268,0.256,0.303,0.094,0.649,0.168
"Facundo Manes",0.08,0.091,0.071,0.054,0.079,0.109,0.092,0.064,0.081,0.102,0.04,0.134,0.172
"Florencio Randazzo",0.053,0.048,0.057,0.048,0.07,0.038,0.04,0.06,0.05,0.047,0.046,0.02,0.256
"A los candidatos de la izquierda",0.033,0.024,0.041,0.041,0.046,0.018,0.006,0.03,0.036,0.031,0.033,0.001,0.052
"Jose Luis Espert",0.071,0.102,0.043,0.159,0.04,0.052,0.02,0.018,0.092,0.1,0.049,0.086,0.027
"Otros candidatos",0.086,0.064,0.105,0.075,0.12,0.048,0.071,0.088,0.11,0.04,0.08,0.029,0.101
"Votaría en blanco o anularía",0.103,0.086,0.118,0.127,0.1,0.068,0.117,0.135,0.1,0.068,0.122,0.019,0.106
