"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","A.Kirchner","Belloni","Vidal","Costa","Otro Nueva Santa Cruz","Peralta"
"A Horacio Rodriguez Larreta",0.22,0.206,0.233,0.089,0.349,0.199,0.145,0.292,0.171,0.226,0.263,0.193,0.348,0.163,0.208,0.235,0.027,0
"A Mauricio Macri",0.311,0.267,0.356,0.57,0.172,0.199,0.164,0.228,0.419,0.174,0.283,0.328,0.368,0.484,0.161,0.261,0.545,0
"A Patricia Bullrich",0.289,0.336,0.241,0.26,0.22,0.449,0.435,0.279,0.303,0.267,0.275,0.297,0.172,0.204,0.599,0.244,0.204,0.5
"A Facundo Manes",0.07,0.06,0.081,0.02,0.104,0.074,0.102,0.064,0.034,0.172,0.062,0.076,0.093,0.015,0,0.091,0.095,0.5
"A Gerardo Morales",0.11,0.131,0.089,0.061,0.155,0.079,0.154,0.137,0.073,0.161,0.117,0.106,0.019,0.134,0.032,0.169,0.129,0
