clase,Todos,Hombres,Mujeres,16-29 años,30-49 años,50-64 años,65+ años,Hasta primario completo,Secundario completo/incompleto,Terciario completo/incompleto,Capital,Interior,A.Kirchner,Belloni,Vidal,Costa,Otro Nueva Santa Cruz,Peralta
Pablo Grasso por el Frente de Todos,0.156,0.151,0.16,0.168,0.179,0.091,0.116,0.157,0.18,0.093,0.213,0.123,0.275,0.18,0.13,0.01,0.038,0.027
Javier Belloni por el Frente de Todos,0.105,0.108,0.103,0.126,0.098,0.097,0.074,0.081,0.111,0.126,0.044,0.14,0.112,0.341,0.027,0.013,0.07,0
Alicia Kirchner por el Frente de Todos,0.089,0.093,0.085,0.049,0.11,0.096,0.131,0.112,0.064,0.12,0.07,0.101,0.208,0.073,0.016,0.011,0.031,0
Pablo González por el Frente de Todos,0.04,0.044,0.036,0.024,0.042,0.069,0.034,0.049,0.028,0.055,0.063,0.027,0.074,0.041,0.005,0.006,0.026,0
Fernando Cotillo por el Frente de Todos,0.018,0.019,0.017,0.021,0.006,0.04,0.021,0.033,0.007,0.021,0.003,0.026,0.02,0.009,0.004,0,0,0.074
Eduardo Costa por Cambia Santa Cruz,0.136,0.141,0.131,0.141,0.105,0.175,0.196,0.177,0.112,0.141,0.189,0.106,0.071,0.089,0.056,0.463,0.213,0.123
Roxana Reyes por Cambia Santa Cruz,0.084,0.109,0.059,0.074,0.069,0.114,0.145,0.052,0.085,0.129,0.103,0.074,0.048,0.057,0.026,0.244,0.118,0.065
Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER,0.196,0.174,0.218,0.208,0.199,0.203,0.122,0.172,0.222,0.166,0.128,0.234,0.108,0.128,0.601,0.142,0.152,0.258
No sabe,0.176,0.161,0.191,0.189,0.192,0.115,0.161,0.167,0.191,0.149,0.187,0.169,0.084,0.082,0.135,0.111,0.352,0.453
