"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P22","Muy buena",0.031,0.076,0.102,0.068,0.108,0.005
"P22","Buena",0.082,0.07,0.077,0.107,0.101,0.051
"P22","Ni buena ni mala",0.398,0.268,0.558,0.413,0.243,0.296
"P22","Mala",0.245,0.146,0.126,0.372,0.186,0.043
"P22","Muy mala",0.231,0.325,0.071,0.01,0.254,0.015
"P22","No sabe",0.013,0.115,0.066,0.03,0.108,0.59
"P23","Muy buena",0.17,0.07,0.152,0.181,0.124,0.132
"P23","Buena",0.01,0.07,0.103,0.125,0.083,0.094
"P23","Ni buena ni mala",0.184,0.143,0.258,0.172,0.16,0.209
"P23","Mala",0.259,0.168,0.193,0.338,0.147,0.187
"P23","Muy mala",0.37,0.515,0.278,0.184,0.44,0.212
"P23","No sabe",0.007,0.034,0.016,0,0.046,0.166
"P24","Muy buena",0.425,0.077,0.036,0.063,0.02,0.073
"P24","Buena",0.184,0.348,0.067,0.031,0.051,0.026
"P24","Ni buena ni mala",0.134,0.227,0.454,0.15,0.062,0.143
"P24","Mala",0.144,0.137,0.294,0.629,0.155,0.147
"P24","Muy mala",0.108,0.174,0.124,0.111,0.68,0.129
"P24","No sabe",0.005,0.037,0.025,0.016,0.032,0.482
"P25","Muy buena",0.186,0.047,0.048,0.215,0.117,0.116
"P25","Buena",0.02,0.135,0.146,0.107,0.173,0.053
"P25","Ni buena ni mala",0.051,0.088,0.269,0.109,0.136,0.129
"P25","Mala",0.216,0.123,0.137,0.326,0.03,0.117
"P25","Muy mala",0.517,0.573,0.379,0.24,0.536,0.306
"P25","No sabe",0.01,0.034,0.021,0.003,0.008,0.279
"P26","Muy buena",0.284,0.174,0.118,0.241,0.156,0.13
"P26","Buena",0.092,0.156,0.209,0.119,0.079,0.147
"P26","Ni buena ni mala",0.241,0.295,0.412,0.143,0.172,0.25
"P26","Mala",0.069,0.13,0.106,0.412,0.171,0.003
"P26","Muy mala",0.303,0.208,0.128,0.077,0.382,0.167
"P26","No sabe",0.011,0.037,0.027,0.008,0.04,0.303
"P27","Muy buena",0.283,0.062,0.207,0.092,0.116,0.073
"P27","Buena",0.048,0.179,0.241,0.229,0.153,0.084
"P27","Ni buena ni mala",0.152,0.33,0.351,0.224,0.165,0.363
"P27","Mala",0.177,0.109,0.08,0.425,0.097,0.012
"P27","Muy mala",0.292,0.248,0.047,0.024,0.445,0.034
"P27","No sabe",0.048,0.072,0.074,0.006,0.024,0.434
"P29","Muy buena",0.18,0.031,0.038,0.007,0.031,0.036
"P29","Buena",0.011,0.155,0.061,0.112,0.035,0.03
"P29","Ni buena ni mala",0.23,0.208,0.547,0.194,0.166,0.084
"P29","Mala",0.244,0.14,0.102,0.526,0.058,0.051
"P29","Muy mala",0.309,0.34,0.208,0.084,0.638,0.084
"P29","No sabe",0.026,0.126,0.044,0.077,0.072,0.715
"P30","Muy buena",0.177,0.049,0.13,0.216,0.196,0.207
"P30","Buena",0.052,0.154,0.162,0.123,0.162,0.032
"P30","Ni buena ni mala",0.188,0.156,0.424,0.142,0.143,0.175
"P30","Mala",0.159,0.159,0.105,0.366,0.039,0.044
"P30","Muy mala",0.413,0.368,0.13,0.106,0.447,0.031
"P30","No sabe",0.011,0.114,0.049,0.047,0.013,0.511
